#{"t_start": 1642787844.4089096, "env_id": null}
r,l,t
-5.75473,652,45.913033
-1.471069,652,86.078062
-4.009481,652,124.589761
-7.200066,629,172.592894
-7.762918,201,183.911362
-7.001,1,184.211
-1.302079,652,229.096382
-5.660522,652,276.230054
-7.25808,6,277.56285
-0.500967,652,324.131586
-1.389542,652,366.097666
-6.505993,411,391.99021
3.066217,652,439.017865
-6.911366,65,442.988528
1.998793,652,482.433517
0.590628,652,526.140125
-7.353025,20,527.277781
-4.328096,423,557.205105
-5.878972,600,596.980906
-6.511549,190,608.634671
-7.001,1,609.674113
-5.780587,37,613.047177
-4.194551,263,634.114304
-7.001,1,634.320231
-7.303443,573,668.916514
-2.633983,318,695.907634
0.065163,652,736.733863
-6.217939,55,739.878249
-5.448072,263,756.339877
-4.084279,306,778.984759
-4.05274,323,806.843806
8.745237,652,850.622061
-2.633764,232,866.705693
-7.001,1,866.899256
-4.220851,272,886.511917
-5.709759,642,929.192944
-7.03233,5,930.428424
4.79068,652,972.525371
-0.698235,638,1015.191571
4.709577,652,1054.554863
-0.208355,426,1085.905959
-7.001,1,1086.11177
-7.001,1,1086.355335
-7.001,1,1086.96927
-4.211428,107,1096.376616
-7.001,1,1097.052124
-7.001,1,1097.350723
13.745877,652,1137.238753
-5.60597,381,1165.141164
-0.132289,601,1200.5084
4.41051,526,1241.781334
11.007319,652,1285.689003
-4.502023,152,1297.634892
-5.839701,64,1303.180407
-4.56918,254,1321.361836
-7.800868,25,1323.099116
12.250858,212,1338.679308
11.682119,652,1383.271069
10.887852,652,1424.698697
-1.990734,135,1434.659168
-3.267703,379,1465.02409
-6.58815,85,1472.775946
-7.001,1,1473.028261
-7.001,1,1473.991447
-4.963843,57,1478.148947
-6.965142,5,1478.618077
7.59354,652,1529.840912
-7.001,1,1531.335811
-5.793143,60,1535.911715
-5.199091,66,1539.897891
-7.015535,2,1540.554656
4.574671,652,1587.490683
-1.694831,246,1604.429666
13.001505,652,1651.109081
-6.477017,27,1653.536747
-7.001,1,1655.03347
5.613881,566,1694.231843
-7.001,1,1694.526275
-7.034831,2,1695.242248
-6.870468,7,1696.967885
-5.822166,90,1703.893193
-6.54931,14,1707.460348
-7.001,1,1708.148394
6.024615,515,1748.46893
14.402421,652,1795.198626
-6.349456,10,1796.219499
-1.568665,214,1813.559924
-7.046185,3,1813.810471
10.594848,652,1865.55707
-4.834114,85,1872.277536
-6.948849,4,1872.67957
3.234326,441,1905.929097
-4.799778,41,1909.700828
11.821543,652,1954.845134
-7.001,1,1955.07854
-5.122608,65,1960.223663
-6.907418,6,1961.196304
11.95743,652,2009.948161
-7.001,1,2010.614697
-5.371326,33,2016.23634
2.175785,423,2044.256213
2.313562,311,2065.178654
-3.292859,165,2078.521176
-5.794717,35,2083.233752
-7.001,1,2084.582859
-7.001,1,2085.293899
3.285678,652,2131.606746
1.790606,386,2159.471099
-6.21881,15,2160.894679
-3.65477,111,2168.944049
-1.252866,217,2183.635659
-3.396261,108,2191.524411
-2.534209,383,2222.355572
8.363434,413,2254.508265
-6.910202,19,2255.572127
16.608643,586,2301.031672
-6.155746,75,2305.92756
7.5525,315,2326.109761
-6.242904,9,2328.500632
-3.970835,101,2335.887108
-4.815676,118,2346.17134
-7.001,1,2346.406233
-5.70757,37,2350.799074
-7.001,1,2351.368137
-7.001,1,2351.655216
-7.001,1,2351.897279
-6.055782,79,2358.165291
-7.001,1,2359.208704
-4.68462,64,2365.088794
0.540643,194,2377.116943
-1.592028,203,2396.183278
3.338472,389,2429.136078
-7.001,1,2429.901092
-7.001,1,2430.131919
-6.847214,18,2432.493059
0.609778,245,2455.131194
-7.001,1,2455.771225
24.734496,652,2499.285309
6.035419,533,2533.443346
3.966123,652,2583.196101
-7.001,1,2583.413056
-3.814037,76,2591.979911
13.002547,652,2642.567064
-6.434053,32,2645.500516
-0.578429,241,2665.995357
-6.596619,11,2666.763535
-7.001,1,2667.39468
11.876223,652,2716.068198
-3.848566,126,2724.022987
15.260302,652,2776.935433
-6.183163,37,2780.29398
-7.001,1,2780.952474
2.007541,289,2802.104556
4.180554,550,2841.337183
-7.001,1,2842.807692
3.703763,398,2875.887659
-2.320807,112,2885.027824
7.687812,421,2922.510248
0.892494,187,2934.878236
-7.001,1,2935.516734
-4.223699,180,2947.824473
-6.027112,59,2951.438444
-5.323729,29,2953.183345
0.305972,226,2973.946026
-5.349693,138,2984.835998
0.062136,187,3000.013066
-7.001,1,3000.178731
3.728912,411,3035.055733
-7.001,1,3035.726409
-5.671738,20,3037.454967
-4.095299,127,3044.753618
-1.988879,131,3053.321874
-7.001,1,3053.960381
-1.470096,152,3064.4526
-7.001,1,3065.141194
-5.060625,115,3076.28213
3.461665,273,3094.75179
6.942798,492,3125.932814
-7.001,1,3126.198604
-2.571874,202,3142.971341
3.268339,639,3186.78614
-7.001,1,3187.027543
-7.001,1,3187.639486
-3.646871,85,3193.023138
-6.60888,10,3193.668634
-7.001,1,3194.780591
4.666635,381,3220.971394
-6.943447,18,3222.339216
-1.181364,173,3231.837486
2.554348,361,3265.558477
-1.993677,162,3275.496149
-0.610423,198,3291.334688
15.583426,652,3340.287125
12.658526,406,3370.295262
-4.056191,86,3376.985982
-7.001,1,3377.260548
-7.001,1,3378.423756
5.971352,344,3406.725925
4.404259,263,3421.657129
5.616372,442,3454.268497
17.142324,599,3496.437952
-1.750031,138,3507.472924
10.454231,379,3534.208426
-1.766018,109,3541.563783
-3.747572,97,3552.196903
-6.440075,18,3553.645616
-5.438876,42,3555.818519
14.408551,652,3605.564724
-2.313847,133,3614.537088
-6.891452,3,3614.974339
-1.802484,116,3621.672911
-7.001,1,3621.932119
-7.001,1,3622.215952
28.777435,652,3669.498677
-0.948252,242,3691.025129
16.81722,652,3745.790146
-4.021248,68,3750.323818
-3.663257,89,3756.59303
-3.359292,80,3763.334137
11.410986,652,3809.753958
-7.001,1,3810.466455
-7.001,1,3811.055949
12.561443,634,3856.820737
1.171686,267,3883.073671
4.80561,406,3910.540482
-7.001,1,3910.771121
-7.008621,4,3911.151207
-7.001,1,3911.798244
11.674306,391,3941.445673
4.907662,309,3973.663003
-5.710035,24,3975.776896
4.451824,223,3992.612026
-0.890253,148,4003.68796
-4.489103,55,4009.871111
1.637083,178,4024.287957
-1.042884,124,4035.285736
-3.766479,107,4064.588133
-2.765708,127,4073.834526
-7.001,1,4073.996952
6.956535,270,4098.039984
-1.219466,151,4113.37499
-7.001,1,4113.597643
16.637534,652,4163.466575
-7.082757,1,4164.158001
-6.845985,3,4165.12313
5.480427,408,4205.631296
-1.365121,142,4216.087976
-7.001,1,4216.36384
5.026083,652,4272.288082
16.977412,491,4306.32024
31.718057,652,4348.452914
-7.001,1,4348.728904
-5.237445,34,4350.780973
-1.909734,119,4360.821715
19.52663,652,4407.695703
-4.696224,57,4412.017465
2.456345,237,4431.83584
-7.001,1,4432.667995
-6.29381,11,4433.78926
-0.385042,217,4451.190322
15.804286,471,4488.745616
18.477074,652,4532.299362
3.985599,433,4564.263494
-0.912316,156,4574.388198
4.301579,344,4606.351524
13.978726,652,4656.171379
-3.646139,94,4662.345946
