#{"t_start": 1642787844.6900358, "env_id": null}
r,l,t
-6.564463,123,14.189319
-7.14768,306,32.817589
-3.857626,652,72.719533
-3.54684,652,111.125437
-2.576278,652,155.778417
0.425782,652,204.296829
-5.006416,436,231.072819
-7.001,1,232.553668
-7.272936,27,235.653452
-3.480755,652,281.820893
-5.851265,124,290.949203
-5.150476,652,336.243295
0.177552,652,377.259206
-1.524167,652,422.34493
-7.076667,9,423.392836
-7.001,1,424.8375
0.034864,652,463.928135
1.89451,652,503.818251
3.222811,652,551.818023
-4.750359,253,569.721366
-7.001,1,570.465663
9.07181,652,613.218532
-7.001,1,613.853849
-7.121725,5,614.660821
-7.001,1,615.405568
-7.001,1,616.10277
2.415052,652,659.814854
3.265618,652,706.197847
1.127146,652,745.33552
-7.001,1,746.531068
-7.004549,6,746.992687
-2.225706,548,786.186068
-1.069166,623,835.07217
-6.859913,433,859.816511
-3.818789,122,870.970504
-6.878807,46,873.759843
-2.21404,579,913.119396
6.441839,652,957.455303
-6.936101,23,960.228043
1.655336,649,1001.085529
-5.838974,479,1032.662432
-3.800449,594,1068.110431
-7.001,1,1068.741918
-7.001,1,1069.015544
-6.940307,13,1070.610167
-3.841727,254,1091.172266
-4.991871,234,1108.006205
9.171403,652,1151.214839
-7.001,1,1152.245994
-2.939247,266,1169.366786
9.928883,652,1209.22038
-3.425869,311,1234.103211
-7.099186,25,1235.517088
-7.001,1,1235.788984
-7.0583,12,1236.674804
-7.507835,26,1238.78411
-6.870314,3,1239.521168
-7.001,1,1239.852741
-6.723102,12,1240.68529
0.268844,403,1267.198258
14.425879,652,1314.090263
-5.039536,88,1321.885828
2.860554,379,1348.047317
-7.001,1,1349.042584
-4.830014,64,1354.324541
-6.631011,7,1355.280362
-0.109304,630,1396.565674
13.547129,652,1440.780465
10.474517,652,1491.486627
-7.001,1,1492.147552
-7.001,1,1493.236076
-7.004152,27,1494.802733
-7.001,1,1495.086419
19.96016,652,1546.170664
-2.797773,104,1551.689894
-3.471713,72,1557.237668
-0.067857,225,1573.554631
-7.001,1,1574.726031
-7.001,1,1575.037667
-7.001,1,1575.698224
-7.001,1,1576.445574
-4.933047,65,1581.20911
-2.25155,199,1594.840515
8.084342,652,1641.689332
2.464938,409,1674.659316
-1.554108,407,1702.332647
-5.284084,148,1717.402764
-2.348078,137,1728.960984
2.557899,338,1755.184197
24.37955,652,1800.213464
-4.2654,113,1809.982995
-7.001,1,1810.220108
-7.154465,1,1810.835015
-6.128128,26,1812.76424
5.913046,382,1843.795717
-7.001,1,1843.994941
1.626787,396,1876.340036
-5.416855,100,1882.080058
-2.955668,120,1892.086179
-0.45295,197,1906.118153
0.189699,304,1927.356078
-2.438872,180,1938.545919
-7.001,1,1939.152149
-7.001,1,1939.920691
-2.416899,226,1956.955129
6.981848,414,1990.441268
2.051501,463,2027.862717
-7.001,1,2028.138598
-4.316139,158,2037.800254
2.631544,652,2086.046856
-2.053752,213,2102.307362
-0.078305,176,2112.902282
-3.191753,140,2123.662627
-7.001,1,2124.341869
23.008081,652,2171.275305
-4.033862,143,2180.102832
11.227785,652,2231.520833
-3.459404,118,2239.591498
-7.001,1,2240.198161
0.246277,162,2253.15701
-1.313164,162,2262.949647
-4.003785,56,2266.99479
-7.001,1,2267.705352
-2.643969,128,2275.588814
-6.889216,14,2278.332711
-7.001,1,2279.065223
-7.001,1,2279.956443
-6.580686,13,2281.168117
-7.001,1,2281.783147
-6.926008,4,2282.238217
1.791563,228,2300.094484
10.263456,369,2321.638773
-6.338448,7,2322.31985
14.564593,652,2379.284811
-6.100397,64,2383.141044
-3.275656,190,2404.894943
-3.092492,154,2419.349313
0.333394,198,2435.246193
-2.269656,119,2444.112561
-7.001,1,2445.436322
-6.358486,23,2446.841133
-4.264603,71,2451.764598
3.904757,298,2472.480196
-5.125111,86,2479.986094
0.005131,184,2492.01305
-7.001,1,2492.6037
0.776797,235,2507.04052
-7.001,1,2507.407528
-7.001,1,2508.110199
-7.001,1,2508.426727
-7.001,1,2508.63948
