#{"t_start": 1642787844.7470486, "env_id": null}
r,l,t
-4.96715,652,45.574662
-5.485954,652,85.776133
-5.375498,652,124.228582
-4.725834,652,173.621736
-6.755635,221,187.194715
-6.952363,6,191.487467
-4.817203,652,234.375725
0.230689,652,279.654969
-7.001,1,280.292242
-7.052499,6,280.859767
-5.261469,652,326.48559
0.144285,652,368.718712
-0.433995,652,409.206976
-7.103363,147,425.351719
-0.958327,652,464.646202
3.517085,652,504.781327
-6.893854,31,506.821524
-2.742305,232,523.85192
-7.001,1,524.82698
0.119108,652,571.580078
-6.068095,39,573.940868
-1.175427,652,619.081447
-7.001,1,619.343228
-7.063425,2,620.049055
-4.848253,231,635.488786
-0.526588,652,674.395176
-5.834963,79,679.969096
-7.001,1,681.5285
4.615026,652,727.326626
6.204727,652,770.820926
-7.175947,113,780.435894
-4.702113,111,788.944343
-7.034593,4,791.018413
-7.001,1,793.380001
-4.853119,118,801.284986
-4.474853,157,812.262882
-7.001,1,813.378363
2.676065,521,847.803413
5.921525,652,892.725625
10.014306,121,900.691236
6.704308,652,945.392264
-7.001,1,946.810757
-6.253967,455,974.784518
-5.831281,220,986.490978
-4.68484,126,993.167145
3.889057,652,1038.786753
4.786817,652,1080.46354
3.127389,652,1126.433219
7.282909,652,1172.916142
9.276117,652,1214.472271
-5.702995,374,1243.146696
-7.001,1,1243.38378
-6.9812,2,1244.18611
-4.235904,109,1250.484473
10.14208,652,1295.674744
-7.001,1,1295.89374
-2.452745,427,1327.384087
-7.001,1,1328.374615
-5.548649,67,1333.121392
-4.755131,77,1337.615602
-7.001,1,1337.823105
1.757321,571,1377.498292
-7.746088,232,1392.430813
9.216238,652,1436.39348
-1.616248,365,1460.723689
-7.001,1,1461.634779
-7.001,1,1462.653376
-7.001,1,1464.060436
-1.324115,179,1480.373767
-1.666807,196,1495.547708
-7.001,1,1495.783938
-7.001,1,1496.458709
0.460522,300,1517.658087
-2.90667,453,1552.458392
-7.001,1,1552.729811
-4.203697,81,1558.007119
-5.513195,53,1562.433635
0.521535,620,1607.773799
-2.121161,652,1657.101866
-2.641773,119,1667.098763
-7.001,1,1668.497431
-5.873919,23,1670.162015
-1.711595,310,1689.326621
6.659622,365,1723.117922
-4.957759,81,1727.810891
23.077734,652,1777.50034
-0.247248,219,1790.673835
14.338845,652,1844.666776
-7.001,1,1845.122255
4.734491,652,1894.877982
0.885795,281,1914.971049
9.805627,455,1946.058801
7.976263,367,1975.198803
-7.001,1,1977.021518
-2.050322,286,1997.013825
-4.048782,113,2006.016696
-1.955498,88,2013.778099
-6.153382,34,2018.288607
3.015619,388,2043.017849
8.822764,483,2077.218689
-2.343712,162,2092.709197
-4.660577,76,2097.20062
11.491992,652,2144.548589
-6.900864,36,2146.386163
-7.001,1,2147.081535
-3.310712,107,2155.290325
-7.001,1,2155.557229
2.642356,456,2186.852063
-4.203621,72,2192.858769
-5.476545,42,2198.536762
-7.001,1,2199.153819
-0.65433,219,2215.595836
-3.477757,154,2225.034698
-6.287332,54,2229.467818
-7.001,1,2230.126065
-7.001,1,2230.842927
-7.001,1,2231.107527
4.371036,263,2250.947958
-5.029302,54,2255.681282
14.652753,566,2297.734714
18.320559,652,2348.145357
-5.498656,42,2353.336311
25.820579,652,2410.983166
-1.729768,162,2422.199598
-7.001,1,2423.618124
25.039733,652,2473.27515
7.051738,583,2512.81935
-7.648811,25,2514.21106
-7.001,1,2515.211667
-7.001,1,2515.856852
-7.101312,93,2521.943401
-7.009725,5,2522.798823
1.176511,205,2534.275188
0.217276,332,2559.105582
-4.534757,51,2563.225247
14.983039,548,2604.621821
-6.224868,36,2608.734625
5.420619,486,2651.902591
6.56003,389,2680.68111
17.911881,629,2729.660224
-6.079705,44,2732.105009
-7.001,1,2732.417177
-3.634622,98,2738.52154
-7.001,1,2738.796417
3.903112,652,2789.95999
-4.702078,76,2796.107646
4.6424,399,2823.446417
19.542786,652,2879.841046
-2.076067,136,2888.640872
3.26795,275,2909.339726
19.185164,652,2962.092076
17.536179,531,3010.747683
-6.254116,9,3011.78265
17.938727,652,3056.919342
2.978851,238,3078.208578
-7.001,1,3078.799773
11.239487,652,3120.848255
1.108696,197,3134.387586
-7.001,1,3134.607656
-7.001,1,3134.902652
-6.972379,2,3135.991388
4.76743,376,3162.276474
-7.001,1,3162.886226
-5.86576,36,3165.082368
-5.356309,332,3189.789097
13.187189,449,3220.145954
7.526232,443,3257.430918
2.12835,351,3281.07018
16.737235,652,3328.790219
-7.001,1,3330.259641
7.001821,279,3350.837965
-2.586863,76,3355.249531
-1.007386,154,3368.892812
-1.471684,157,3385.330517
-5.671447,62,3389.558649
-5.48378,46,3393.631943
-0.531363,159,3404.688622
1.665513,213,3416.5507
-3.289415,109,3423.524084
-7.001,1,3423.8685
-7.001,1,3424.450893
-7.001,1,3424.730859
22.918062,652,3469.153001
-5.991029,12,3471.529389
-7.001,1,3471.787029
10.24049,446,3504.917007
-4.406181,84,3511.477738
-5.384029,45,3514.735242
-2.900361,121,3524.274769
6.954946,278,3542.181515
-7.001,1,3542.853997
-0.401367,191,3558.65403
-5.232056,30,3560.834943
2.048503,210,3575.254073
8.259743,322,3599.441897
-7.001,1,3600.451578
-1.218582,131,3610.765713
5.892785,435,3644.176473
9.137649,325,3664.936726
3.40483,266,3684.089983
-6.448321,9,3685.473015
-6.942369,6,3685.962832
-7.001,1,3686.213375
-7.022453,3,3687.265477
-2.025591,166,3708.77397
-7.001,1,3709.022431
-7.001,1,3709.895928
-7.001,1,3710.59691
3.217643,220,3723.308396
-1.584629,229,3740.558014
-3.709356,68,3746.379236
-7.001,1,3746.637641
-5.55244,54,3750.663337
-1.80893,487,3785.067785
8.923417,373,3814.096928
-7.001,1,3814.721824
-0.377857,157,3825.67993
-5.596171,51,3828.554159
14.344224,652,3882.402293
-5.182799,33,3884.79895
-7.001,1,3886.324984
11.151496,318,3906.711449
10.902998,585,3958.505781
-2.399978,127,3969.210548
-5.994936,22,3971.328846
-5.608304,36,3973.964033
-3.963301,75,3979.554853
-1.793324,151,3990.525616
-7.001,1,3991.606373
3.249974,305,4018.428587
-0.677434,260,4060.200424
-0.449018,170,4072.538244
-0.128135,209,4090.654722
-7.001,1,4091.460908
-1.880675,116,4101.695272
-2.873313,104,4110.02146
-7.001,1,4110.295485
-7.001,1,4111.777176
-3.634072,124,4120.58464
-3.507258,82,4125.667756
10.128182,519,4173.175549
-7.001,1,4173.423909
-7.001,1,4175.247454
4.71521,452,4213.292042
-4.312889,148,4224.660359
-1.90778,175,4243.047638
-7.001,1,4243.318263
1.254515,236,4263.39555
4.618338,240,4279.687996
-7.001,1,4280.280831
9.837301,424,4309.03808
24.793284,652,4351.501165
-0.976001,381,4376.773581
-6.329208,11,4377.911504
25.219439,652,4429.330466
17.463655,652,4481.705047
-4.110939,72,4490.651201
-0.558511,222,4504.504008
-0.337364,137,4512.712732
0.823742,290,4532.692317
5.914705,449,4565.875731
-5.764988,33,4568.365491
3.664807,333,4596.329535
0.925862,207,4613.370154
-7.001,1,4613.629593
-7.001,1,4613.907776
16.802676,652,4663.895028
29.493416,652,4707.408889
-7.001,1,4707.680461
-0.851866,652,4759.854759
18.620944,652,4818.523134
-7.001,1,4819.285173
-7.001,1,4819.970974
-7.001,1,4821.038367
-0.542615,193,4837.188288
-1.645395,176,4852.081928
11.001257,652,4899.30169
11.132605,367,4924.152676
-6.90152,9,4925.210307
-7.001,1,4925.942312
-7.001,1,4927.01254
-7.001,1,4928.032098
1.867061,302,4950.262219
-6.008777,32,4953.985494
-5.847136,21,4958.044094
-6.42759,14,4959.301917
-6.97729,6,4959.745335
-7.001,1,4959.962293
-1.50281,122,4969.884931
-0.806435,143,4983.919014
-3.921244,97,4993.872633
1.917119,279,5020.129711
-7.001,1,5020.358045
-7.001,1,5020.636669
-6.511853,19,5022.860785
-0.615201,181,5038.954469
-6.539453,6,5039.78322
5.029657,368,5069.930723
-7.001,1,5070.648041
-1.387506,129,5081.687779
13.986902,652,5128.851694
-3.598238,118,5136.930414
-7.001,1,5137.625037
4.538471,285,5178.18873
-3.451315,101,5187.250834
-5.799575,17,5188.322748
13.866089,652,5237.382752
-4.451381,110,5243.858312
-4.69901,54,5248.909951
6.52193,592,5299.295837
10.154745,353,5331.529415
14.078447,409,5364.552087
11.198115,620,5404.597143
-3.029835,67,5410.226147
17.996665,652,5454.816419
-3.839449,110,5464.913958
-5.905389,18,5467.144597
-6.871039,6,5468.125298
17.685984,652,5519.481638
-7.001,1,5520.17569
