#{"t_start": 1642787844.8068569, "env_id": null}
r,l,t
-8.087539,652,45.514356
-10.167141,510,77.393623
-1.755444,652,116.07767
-6.160787,167,128.828389
-7.001,1,129.827079
-7.001,1,130.116446
-2.978396,652,175.389789
-6.649132,350,201.14291
-1.129977,652,245.853019
-7.001,1,246.491324
-8.050811,642,291.501821
-7.001,1,291.764827
-7.001,1,292.07245
0.177525,652,336.646376
-3.68402,652,378.077427
-8.382898,76,383.123986
-5.662775,463,410.909657
-7.001,1,412.027629
-7.001,1,412.251942
-7.001,1,412.962469
-6.986072,2,414.605217
-7.001,1,414.77313
-7.001,1,415.127239
-6.246956,341,439.253156
1.418541,652,477.854584
-9.143409,581,514.158206
-7.030032,12,515.550278
-2.896612,652,564.173418
-7.744713,84,570.640254
-4.943196,123,578.000627
1.803008,652,624.671248
-7.001,1,624.889961
-6.064697,105,631.167051
-7.086992,5,631.581636
7.371896,652,671.80939
-6.214367,148,684.635571
-2.214528,652,728.48388
-7.001,1,729.103428
-2.613709,388,752.844269
-7.880363,530,796.338541
-7.001,1,796.613239
-5.088697,114,804.071696
-7.001,1,804.741937
-2.993727,287,827.069353
-7.339551,88,832.606871
-6.634267,427,856.236006
1.139102,423,888.610349
-7.001,1,888.848112
4.711004,652,933.933334
-6.34853,15,934.821349
-4.242714,284,953.388129
11.821769,652,991.813622
-7.03513,78,999.64485
-6.211179,150,1009.928343
-5.961864,155,1019.713684
-6.859094,30,1021.27299
-7.001,1,1022.780633
-6.914787,52,1026.153559
-7.001,1,1026.779938
-7.001,1,1027.386308
14.114433,652,1065.142965
-7.001,1,1065.431517
-6.19499,54,1069.687459
12.308745,652,1116.83707
2.519095,652,1161.084756
-7.014867,2,1161.393916
-7.172625,13,1162.619304
12.466439,652,1202.74375
-6.492844,36,1205.363791
-7.001,1,1205.927641
-1.930913,192,1220.196305
-6.474489,109,1229.974272
-6.218593,14,1230.816923
-1.771108,217,1247.15326
5.858125,652,1289.330844
-2.411071,209,1307.198816
15.384814,652,1356.06194
14.687039,652,1397.696806
1.257541,298,1417.080445
2.081553,464,1451.413808
-0.930004,261,1471.077411
-7.001,1,1471.321445
-6.923111,2,1471.669732
0.88308,616,1521.737045
-7.001,1,1521.948959
-3.026894,147,1534.004884
9.024439,652,1581.841254
-6.007114,88,1587.948674
-1.782424,203,1601.486382
-4.08454,103,1608.35811
-6.920141,5,1608.880416
-7.001,1,1610.004946
3.579894,535,1647.304414
3.295036,408,1681.284408
0.981833,376,1709.79716
-7.001,1,1710.466661
-4.43932,94,1717.904188
-7.001,1,1718.213785
-7.001,1,1718.643917
-4.283981,154,1731.201666
-6.015847,28,1733.857807
-4.658669,123,1743.398479
13.126921,652,1788.855528
1.010035,261,1807.557845
-7.001,1,1808.187547
-0.803853,378,1838.992317
-7.001,1,1839.31489
-7.001,1,1839.568235
-4.242148,124,1850.504928
-5.688162,59,1853.483348
-7.001,1,1853.673712
-7.001,1,1854.659874
-7.001,1,1856.079564
-6.97781,4,1856.898129
23.317015,652,1904.051069
-3.32578,173,1917.585398
-7.001,1,1918.164334
-1.728053,221,1932.240764
7.129257,381,1962.339141
-4.756655,64,1968.071029
-7.001,1,1968.335325
12.965509,652,2019.460566
23.176752,652,2060.003435
2.660401,448,2099.306346
-1.35318,136,2109.161776
8.948943,402,2137.834491
-7.001,1,2138.893088
-1.470682,150,2147.438843
13.872492,652,2196.321063
3.087883,549,2237.765753
13.888305,652,2286.737435
-4.129611,119,2296.75755
9.225151,414,2324.170143
-6.49604,16,2327.462864
-7.001,1,2328.107469
1.267934,347,2359.784918
-4.283258,62,2365.141983
2.01095,350,2392.782539
-5.009013,52,2397.784935
-2.97219,201,2418.221465
10.400455,220,2435.510297
10.357686,496,2471.098432
-6.260587,23,2474.099093
-7.001,1,2475.069678
-7.001,1,2475.794407
-4.829328,160,2486.35736
-7.001,1,2486.603912
-6.167581,14,2487.458711
-3.622075,114,2494.478264
-5.294988,41,2497.525148
24.983881,652,2539.606272
-7.001,1,2540.260429
-6.902012,2,2541.212743
3.116621,364,2568.650413
-3.361498,100,2576.930616
-2.868596,127,2585.929062
-6.417727,19,2587.589835
-7.001,1,2589.355303
6.721451,418,2620.519569
-3.707052,78,2625.395334
-1.824143,114,2633.659836
-7.001,1,2634.28784
10.401867,74,2643.756721
1.851053,190,2660.261415
-4.278865,151,2671.662187
-7.001,1,2672.312634
-3.145224,188,2683.66604
-7.001,1,2684.285372
5.853136,437,2719.086861
-5.68157,57,2722.311595
-5.489068,50,2726.089232
-7.001,1,2727.118803
4.083351,376,2755.533876
-3.213644,79,2762.865203
-7.001,1,2763.523532
-1.886972,113,2772.327307
1.151224,309,2793.382576
5.497321,407,2820.786454
-6.875613,4,2822.61271
-4.51652,119,2834.783493
-3.746204,109,2843.568643
-7.001,1,2843.836164
-6.650186,5,2845.194701
-2.965046,118,2852.505112
-6.907378,2,2854.364058
-7.001,1,2855.64732
-4.320741,77,2863.567062
-6.129606,33,2865.921641
14.171748,426,2894.46194
-5.489073,43,2897.038961
-3.868364,90,2904.120912
-3.614496,89,2915.690642
3.187491,305,2940.24323
3.030443,362,2968.874983
-7.001,1,2969.459089
4.261105,652,3023.360292
-0.589575,148,3036.246697
-3.022465,123,3043.674639
5.612546,317,3067.290127
-7.001,1,3069.148867
15.396983,652,3112.565627
-7.001,1,3113.205984
-2.510421,175,3123.723251
-7.001,1,3124.029444
11.298156,378,3150.691052
-4.95847,50,3155.102418
1.478514,287,3175.344084
-1.668905,162,3188.035702
-3.778277,143,3199.329236
-4.29804,73,3203.920785
-0.019924,560,3243.384904
-7.001,1,3244.030867
-2.935942,83,3250.599169
-7.001,1,3251.268239
-6.825264,6,3252.233695
-7.001,1,3253.427608
14.637881,652,3301.485608
-7.001,1,3302.162464
1.268217,348,3325.479067
21.223041,652,3375.69416
-5.915083,24,3380.984387
2.684249,289,3403.020451
2.228391,295,3420.148245
-7.001,1,3420.757901
4.406915,356,3446.983968
0.998849,269,3464.377473
6.372283,271,3484.841817
4.133728,257,3504.829963
6.224475,394,3532.873417
0.283718,202,3549.350995
7.941231,567,3592.342415
2.329075,186,3607.265218
4.308209,255,3624.472274
-0.388564,190,3638.219973
-0.358278,174,3653.123468
10.273186,342,3673.080369
-2.192493,118,3682.461877
8.981779,560,3734.310838
11.715314,414,3765.541969
0.272289,149,3775.301078
32.331004,652,3824.684329
31.558629,652,3876.070368
-6.839137,6,3877.164941
2.901939,259,3896.49096
4.849112,268,3915.918985
-7.001,1,3916.16383
-3.215856,127,3925.338131
-3.788657,62,3930.854771
-6.709109,4,3931.204596
-4.926825,37,3934.508837
7.568697,488,3978.732234
-2.635224,106,3987.039274
1.202893,201,4002.313426
-6.440971,21,4003.777045
18.419766,652,4078.443759
-0.084657,180,4096.039573
-3.544609,58,4100.425324
-5.752836,32,4105.571833
-2.680628,90,4114.282284
4.060052,261,4129.261511
6.098591,360,4160.859522
-6.00829,27,4163.068071
-7.001,1,4163.767389
-4.093294,80,4176.048023
-2.080796,149,4185.853454
-7.001,1,4186.534429
-5.263178,50,4192.245557
4.242169,381,4223.46737
-5.721492,25,4227.071204
-6.93607,28,4230.052347
-7.001,1,4230.281834
-5.510994,19,4233.670043
4.954517,471,4270.451926
-2.728937,98,4277.662744
-7.001,1,4277.910863
-4.655064,86,4285.540727
6.70816,366,4309.67224
-4.992991,38,4311.755386
17.227787,652,4353.978014
-7.193992,8,4354.983873
-7.001,1,4356.068504
30.874868,652,4403.840244
-3.274571,84,4410.294868
