#{"env_id": null, "t_start": 1644339135.041548}
r,l,t
-1.466741,92,14.691158
-6.977576,2,16.453832
-31.91328,652,83.106616
-6.086052,176,99.64352
-17.065992,203,121.590971
-5.240559,7,122.376041
-25.074056,175,145.161253
-7.012629,72,151.341243
-24.612579,236,176.370539
-7.001,1,176.66436
-7.001,1,177.020809
-15.565567,652,238.744122
-7.732938,59,244.965679
-17.532897,652,306.607983
-7.200925,30,308.969359
-5.407716,143,320.202062
-23.847072,652,381.913157
-7.001,1,382.220161
-23.731463,523,434.064053
-7.001,1,435.454049
-7.001,1,435.78834
-21.053791,371,471.021022
-17.556991,530,520.548103
-14.747221,428,563.623315
-7.618208,26,566.943939
-13.60669,549,618.587588
-32.818376,311,650.24354
-6.481735,86,657.975947
-10.886838,261,688.507366
-7.001,1,688.875376
-9.755006,108,699.278902
-7.001,1,699.579154
-19.460994,463,744.991302
-7.001,1,745.238492
-8.428499,9,746.801679
-13.060309,652,810.459157
-20.325467,652,870.651109
-12.142563,652,933.114163
-7.001,1,933.377892
-20.049687,387,972.165757
-7.001,1,972.410331
-7.001,1,973.832562
-6.662225,71,981.035881
-7.0,1,981.750327
-6.189488,83,988.709357
-12.946589,652,1054.243239
-9.46222,75,1061.951159
-7.001,1,1062.258205
-7.001,1,1062.901776
-7.684544,44,1067.322311
-20.568502,407,1111.660516
-7.148492,16,1112.890887
-7.223788,5,1114.372541
-22.186076,652,1176.238261
-14.734488,383,1213.335408
-20.197604,500,1271.167372
-25.909418,652,1334.200104
-5.619884,67,1341.049362
-16.992205,214,1360.83781
-5.555625,70,1368.615633
-11.241482,478,1416.388384
-10.550329,128,1430.388201
-12.143387,209,1455.141402
-8.573096,53,1459.568641
-6.398856,32,1463.349506
-5.339437,652,1526.729983
-6.63632,47,1531.690011
-13.141624,105,1541.993793
-31.185343,588,1594.58706
-9.586257,652,1656.067152
-7.238735,2,1656.863811
-30.823071,355,1694.983344
-12.414717,194,1711.637972
-7.396032,3,1712.141309
-13.017663,652,1771.294259
-6.915912,2,1771.627918
-9.533434,75,1780.884504
-2.897489,203,1801.363208
-11.17231,154,1819.320173
-6.981956,96,1828.597001
-29.101626,407,1864.112728
-7.001,1,1864.95323
-7.001,1,1865.364741
-20.010293,652,1933.625483
-11.562981,265,1958.029218
-3.27214,115,1970.028029
-5.273695,20,1974.194136
-7.001,1,1974.842489
-7.001,1,1975.569923
-5.631248,254,2006.998901
-7.555444,2,2007.332566
-12.264728,195,2023.791071
-7.500489,7,2024.902797
-11.37475,546,2073.623239
-8.900086,69,2081.279319
-23.687514,257,2104.799361
-7.001,1,2105.10246
-14.410362,118,2116.917936
-7.001,1,2117.628325
-12.044049,64,2123.939764
-10.218755,22,2127.652377
-9.68225,9,2128.550206
-16.819866,243,2155.373282
-10.182074,110,2167.140703
-11.454861,255,2188.178403
-8.025508,67,2198.293517
-7.161011,25,2200.606672
-9.099565,71,2207.694155
-5.50424,43,2212.949604
-7.001,1,2213.626312
-7.001,1,2213.892017
-8.219671,17,2215.669188
-23.772964,652,2281.400862
-4.357608,156,2301.124748
-7.001,1,2301.430468
-16.567277,387,2336.674095
-4.541495,89,2349.396558
-7.251609,42,2354.03244
-5.84331,112,2367.70476
-3.958939,70,2375.766531
-18.092297,652,2437.419825
-13.667894,652,2500.343967
-9.567956,417,2539.514999
-20.27356,652,2610.646019
-9.733499,26,2613.844443
-12.614984,652,2689.099361
-16.727301,652,2749.374341
-10.070595,13,2750.605538
-6.696971,3,2751.19722
-12.022638,117,2761.778151
-7.001,1,2762.520088
-13.876313,652,2832.3506
-6.225157,60,2839.60799
-7.001,1,2839.904151
-9.113344,255,2868.141017
-25.730116,652,2925.87833
-10.412899,255,2954.662079
-7.001,1,2955.419821
-4.12633,652,3027.212836
-18.126447,652,3098.098516
-10.691547,78,3106.181059
-7.001,1,3106.460343
-10.71695,652,3176.208977
