#{"env_id": null, "t_start": 1644339135.0149705}
r,l,t
-7.001,1,5.109815
-22.749369,542,60.428041
-7.837911,86,67.641543
-14.760964,18,71.423737
-9.742101,31,75.690164
-30.349551,652,147.527664
-14.857842,652,210.149428
-9.302354,16,212.835993
-5.0512,85,220.559102
-15.662982,150,235.331064
-8.944661,114,247.335738
-7.161509,8,248.232482
-1.632776,134,261.130018
-9.98864,243,283.942822
-6.736537,99,292.2945
-22.925889,167,308.006191
-13.823497,287,334.038131
-27.776573,461,375.071866
-4.227729,154,391.700711
-18.194811,513,443.739709
-9.204323,32,446.578673
-7.001,1,446.916867
-5.365492,4,447.364675
-22.602702,502,492.577917
-21.947049,185,510.221528
-8.775584,39,513.72087
-11.342017,36,517.687162
-6.889416,37,522.891245
-5.463012,103,532.777911
-17.09024,652,598.175171
-2.611739,341,629.091876
-28.194972,652,697.65538
-7.001,1,698.372927
-11.385899,62,706.535106
-28.458237,245,728.390566
-7.001,1,729.058252
-2.077784,92,736.676937
-7.001,1,737.362788
-6.837761,64,744.634336
-7.205618,8,746.237867
-14.205302,652,809.447904
-3.413409,99,818.467417
-5.111811,26,820.523013
-11.79079,652,880.850401
-7.873609,30,883.022973
-16.424871,652,947.741211
-7.699154,142,963.40095
-7.422495,116,976.17135
-11.44528,652,1041.475588
-10.138038,209,1061.079676
-17.911715,428,1106.7737
-4.919835,55,1116.364809
-6.472754,40,1120.27844
-6.889389,2,1121.03035
-15.277796,90,1129.748919
-8.588109,81,1137.59105
-21.808462,277,1161.391628
-5.336853,540,1213.863919
-9.830365,129,1226.3313
-6.839109,6,1227.664454
-7.001,1,1227.877787
-6.002537,45,1231.702756
-6.911199,1,1231.967551
-9.741584,169,1253.92072
-11.566105,82,1260.899522
-28.59459,652,1325.788223
-1.613269,27,1329.707597
-8.29394,47,1335.049486
-5.975704,179,1352.281643
-2.174358,203,1372.324047
-18.458409,324,1404.12518
-11.185177,101,1414.803831
-19.35495,290,1449.624325
-14.070438,414,1488.024585
-6.748993,8,1488.794981
-7.181231,23,1490.940573
-5.606913,116,1502.970023
-15.856186,401,1543.745592
-22.157197,652,1600.942796
-16.25645,443,1641.191841
-9.982145,652,1709.11417
-13.02338,255,1732.107276
-9.419767,74,1737.759365
-7.001,1,1738.892014
-8.351576,33,1742.906945
-7.728244,388,1779.071399
-7.001,1,1779.401187
-14.821905,518,1835.043208
-11.576815,536,1886.462676
-21.915942,652,1950.412146
-14.902211,237,1977.438441
-7.930326,128,1992.326708
-7.001,1,1992.569672
-7.001,1,1992.990983
-3.382186,36,1999.373722
-7.001,1,2000.057901
-7.001,1,2000.673255
-4.570085,652,2057.190019
-6.543088,34,2060.369322
-7.889653,652,2125.866132
-12.737033,110,2135.9287
-5.399204,14,2137.676611
-7.001,1,2138.872222
-7.001,1,2139.181568
-2.492793,144,2155.940398
-6.68305,14,2157.870952
-15.180219,652,2223.094374
-6.149728,10,2224.351222
-18.951448,652,2293.093467
-7.001,1,2293.861612
-19.937011,652,2360.675166
-7.114639,8,2362.088181
-5.118356,11,2363.07217
-7.001,1,2364.237208
-6.722441,94,2375.061915
-19.853265,652,2437.127108
