#{"env_id": null, "t_start": 1644339135.5819416}
r,l,t
-7.001,1,4.545716
-9.174874,65,12.187824
-13.383941,240,37.95633
-15.383405,276,62.972817
-11.868467,275,92.412497
-5.761928,652,163.880452
-7.001,1,164.626648
-1.650964,652,226.063589
-8.245515,268,255.166671
-27.576605,652,314.773154
-19.921623,245,336.829682
-12.857931,209,355.582031
-33.903846,652,417.607061
-7.001,1,417.93184
-10.358056,87,425.549982
-26.195053,353,465.264986
-8.217068,214,482.989217
-14.11863,245,504.953889
-8.883153,356,541.386981
-7.376109,6,542.409826
-6.923455,2,543.279408
-5.82206,108,553.788128
-10.603377,247,577.25901
-9.464829,97,587.024024
-3.437806,45,591.655387
-7.001,1,592.371141
-7.001,1,593.371246
-11.577018,652,654.298991
-7.43785,50,660.23897
-7.001,1,660.520223
-8.47298,103,673.601118
-11.036485,64,680.629835
-24.810201,406,720.115714
-7.575261,3,721.068791
-7.962787,186,738.183783
-7.001,1,739.044836
-17.823683,96,749.263583
-14.152269,97,758.801824
-16.375171,129,774.660419
-20.359283,652,831.372476
-7.001,1,832.065354
-7.001,1,832.781758
-4.939807,16,834.669226
-7.354524,117,848.391195
-15.346485,257,870.571266
-16.92169,498,919.570686
-11.140943,437,961.754235
-7.502231,256,987.395328
-7.001,1,987.716159
-6.975541,3,988.544318
-7.001,1,989.182806
-11.390396,51,995.367571
-10.327375,76,1001.84687
-7.001,1,1002.129346
-10.190803,528,1054.73649
-19.892933,652,1126.633844
-5.99147,146,1140.204294
-20.05214,269,1163.305636
-11.14408,299,1191.056199
-7.001,1,1191.358754
-10.447909,72,1199.623533
-7.66762,36,1203.261708
-16.33682,98,1212.243632
-9.628781,25,1215.732973
-20.929396,507,1272.714229
-22.474718,652,1336.452279
-7.001,1,1337.463138
-24.012397,652,1400.492578
-4.313057,17,1401.843861
-13.639535,264,1430.459372
-4.983913,79,1440.127934
-8.475292,17,1442.16629
-6.754549,4,1443.12103
-7.001,1,1443.959402
-7.664603,3,1444.463765
-23.980291,292,1471.58903
-7.001,1,1471.880199
-7.001,1,1473.107608
-7.001,1,1473.84075
-5.000213,259,1497.432494
-6.000375,3,1498.455134
-6.450856,16,1499.762001
-2.261288,73,1505.921644
-7.001,1,1506.300466
-11.894437,652,1566.887463
-5.951964,56,1572.639449
-7.001,1,1572.967714
-4.336224,178,1588.177673
-7.291893,3,1588.67029
-7.001,1,1589.036938
-14.263119,199,1608.408177
-21.735352,444,1649.590934
-20.587042,292,1682.588817
-9.779873,490,1726.467338
-5.182764,35,1730.882483
-8.444178,606,1787.216609
-7.445177,5,1787.794593
0.583502,57,1794.785962
-3.88117,141,1811.341451
-15.146353,652,1873.880962
-8.793665,4,1874.959457
-6.523476,5,1875.996409
-7.031622,3,1876.441789
-13.061559,652,1940.866693
-7.001,1,1941.193619
-7.001,1,1941.911191
-15.441739,367,1984.369586
-10.800946,447,2029.455467
-22.916934,652,2089.237542
-9.78469,195,2107.514906
-3.103919,303,2140.244035
-7.001,1,2140.956988
-18.641917,652,2206.74815
-31.356886,652,2273.750098
-11.472778,83,2283.14644
-7.001,1,2283.499391
-13.406146,69,2292.267305
-8.887704,41,2296.799366
-18.190539,652,2365.797032
-7.001,1,2366.518199
-3.340858,77,2376.046321
-6.786119,6,2377.263205
-15.653582,498,2422.200016
-22.40509,652,2484.852152
-32.073205,640,2548.935808
-7.001,1,2549.589428
-7.001,1,2550.926333
-9.859715,180,2566.675088
-7.001,1,2567.367898
-7.001,1,2568.098362
-7.001,1,2570.167165
-3.745498,263,2598.546634
-7.282096,43,2602.135985
-23.195536,574,2659.933433
-6.970866,3,2661.551217
-7.493636,95,2675.263173
-8.866143,61,2682.45425
-14.27103,524,2734.351163
-11.478557,311,2764.970042
-7.148496,235,2792.718381
-6.029614,274,2820.288228
-13.485101,652,2885.113149
-7.427883,2,2885.586209
-13.404308,652,2949.154332
-11.127733,235,2975.962796
-10.199221,97,2988.144361
-14.690192,652,3057.848543
