#{"t_start": 1640654088.347902, "env_id": null}
r,l,t
-7.288982,8,6.672909
-24.362427,357,57.069227
-17.163811,74,69.094365
-25.603785,198,91.809581
-29.28415,164,112.536179
-21.355739,98,122.768079
-3.967047,52,128.254375
-13.036789,158,146.210566
-32.522137,398,200.350462
-5.663764,21,203.756021
-11.021631,652,297.511736
-1.916931,131,312.08788
5.194879,652,385.428295
-2.280375,92,394.344681
-13.812349,451,439.381455
-9.591792,652,507.996065
-7.001,1,508.349569
-2.777612,652,576.226065
-7.883059,652,643.562377
-10.10177,530,700.258856
-7.256804,231,723.928123
-10.362847,652,786.66968
-6.495026,652,851.118264
-5.843841,48,857.94052
-8.484923,105,869.082256
-6.371113,121,880.152453
-6.725876,652,943.327033
-9.353204,469,988.024662
-8.116164,47,994.248439
-6.979007,652,1061.196431
-6.63035,265,1089.951542
-7.404347,652,1155.015905
-6.826827,652,1217.510379
-4.67467,652,1283.823117
-8.454898,74,1292.062901
-9.018896,652,1355.096776
-11.481677,652,1420.135544
-4.688928,391,1458.360156
-8.290605,652,1528.194922
-3.003387,652,1593.907822
-5.989023,32,1596.764368
-10.26086,86,1606.530498
-7.065328,652,1673.203567
-11.871768,615,1736.245378
-13.954155,566,1793.542634
-6.526766,50,1798.599488
-0.171855,652,1882.814784
-6.457715,304,1910.431698
-6.429879,178,1927.346942
-5.040598,652,1991.535107
-4.782909,378,2031.342609
-1.827667,652,2100.194533
-7.530316,652,2169.443848
-1.46366,652,2237.633594
-4.499362,652,2307.199642
-7.031,4,2308.319166
-2.255456,652,2376.100343
-1.581942,331,2411.188708
-5.120143,23,2414.563242
2.885191,652,2476.97735
-6.677714,6,2478.131397
-7.404151,5,2478.921933
-0.856619,147,2492.634392
0.41642,652,2557.559306
-6.396913,652,2622.933344
-15.054988,194,2643.147931
3.585022,650,2709.798761
-5.636423,652,2776.145917
-4.490714,652,2842.403186
-4.599312,652,2910.153644
-8.346862,95,2921.827065
-9.266242,28,2924.797307
-15.470464,78,2934.185496
-7.041,5,2935.274492
-1.436041,88,2945.22639
-0.678939,652,3010.654906
-7.001,1,3011.496137
-5.232688,93,3019.945358
-5.847712,80,3027.789781
-1.984319,652,3092.547446
-5.763608,46,3098.176779
-6.306692,31,3103.073941
-7.243536,6,3103.904089
-7.945713,230,3129.355291
-6.27337,652,3194.711287
-9.453272,33,3197.995066
-6.032111,10,3199.983735
-6.554735,250,3225.36606
10.3324,652,3294.649673
