#{"t_start": 1640654086.9766424, "env_id": null}
r,l,t
-23.574293,125,24.795871
-6.122459,50,33.976892
-12.3514,26,36.806506
-1.462643,43,44.598778
4.391386,105,56.011814
-32.798886,288,93.188892
8.964769,248,121.663072
-2.335383,29,125.59877
-20.548574,262,157.498985
-28.209466,130,178.019341
-7.476179,54,183.714516
-19.742335,293,222.406955
-17.340172,104,238.495384
-11.739954,126,256.506562
1.241607,257,293.907626
-9.623103,43,299.361066
-9.862892,41,303.837752
-8.563443,109,317.41082
-13.910824,299,347.39714
-8.101712,141,364.338123
-11.951878,652,432.37282
-11.344764,52,437.973891
-14.805325,652,505.238733
-7.394929,4,506.29501
-6.21071,362,544.718078
-6.806191,2,545.108555
-2.720303,403,587.605853
-6.664715,2,588.056954
-15.973208,652,657.147637
-4.516331,652,723.597151
-9.984386,652,785.839567
-3.89399,652,850.477496
-7.466031,266,879.329225
-12.762701,242,903.459474
-7.494586,652,965.017046
-7.371462,251,988.942325
-12.291684,509,1040.3513
-4.634588,652,1110.52927
-6.53898,652,1174.699657
-9.800292,244,1197.841954
-8.487697,652,1264.375445
-5.827657,652,1327.360472
-0.239275,652,1394.913523
-7.082971,652,1456.539219
-7.284253,652,1525.374269
-6.826296,305,1555.537632
-7.041,5,1556.267889
-0.688022,652,1625.293573
-5.946706,652,1691.46047
-7.069322,652,1757.793992
-7.001,1,1758.565338
3.451385,652,1822.361938
-10.826323,285,1869.651912
-7.001,1,1870.448332
-11.222708,652,1933.623727
-5.354882,652,1997.017467
-7.001,1,1997.374708
-3.424294,174,2014.980505
-6.979725,613,2079.532993
-10.184654,215,2103.231707
-15.897391,652,2172.492676
-0.192329,652,2241.272731
9.922094,652,2311.614513
-6.528474,299,2344.325095
4.677995,652,2410.484388
-4.890483,652,2473.697904
-2.340028,652,2540.054205
-4.966704,30,2543.311307
-5.408933,652,2607.275202
-3.45658,132,2620.350677
-3.041054,652,2687.176259
-1.442743,321,2721.359068
-2.914392,196,2741.312325
-0.293402,292,2769.524567
-6.007094,79,2779.523673
3.844693,188,2799.260735
-0.02292,652,2863.381281
4.996817,652,2934.022504
-11.65009,52,2940.307663
-8.581882,113,2952.187767
6.755384,652,3018.272611
-3.35326,652,3081.839072
-6.184482,35,3085.514643
-2.207203,112,3098.491938
-6.094864,544,3158.680455
4.194237,257,3184.477335
8.366103,244,3210.404006
8.550102,652,3276.696337
3.7536,177,3296.483111
-15.600912,174,3318.946527
-5.971907,652,3388.507668
-7.011,2,3390.074801
-6.527119,15,3393.563041
-5.137259,90,3403.475774
-15.76792,652,3471.651161
3.021267,652,3538.919944
4.898828,198,3561.561
-3.587247,59,3568.897202
-4.118822,652,3635.722053
-8.502395,27,3638.821912
-8.871268,652,3710.203437
-4.587705,43,3714.867326
-9.396607,652,3782.040186
1.42887,652,3849.474667
-18.473814,652,3921.147071
-6.486043,296,3954.729948
-6.354934,5,3955.952823
10.27011,359,3993.218849
-6.097288,172,4011.442052
12.097129,652,4080.822545
2.90224,601,4149.523503
-8.450504,40,4155.337595
31.148586,652,4223.583427
-6.245924,30,4227.022253
-9.940225,126,4261.181811
-7.001,1,4262.749947
3.36716,328,4299.964751
-2.832778,85,4309.244281
4.164938,264,4341.907414
-1.242894,187,4362.623351
-6.836542,37,4365.67401
-13.699095,52,4372.564827
2.440632,321,4404.133066
-2.75643,423,4453.865504
-0.248614,260,4480.834453
-6.807165,11,4482.015687
1.036962,304,4515.668509
10.46712,652,4585.134138
-2.483321,285,4615.367809
-7.021,3,4616.876038
-8.489402,81,4625.857085
-15.611152,91,4636.513862
-11.858189,274,4667.481939
-5.791685,652,4735.012191
3.75052,652,4806.644987
-7.032682,14,4808.552983
4.15659,136,4821.599938
-2.76874,111,4833.434101
-8.890798,204,4857.151848
0.465031,160,4874.320656
-1.06852,116,4886.358243
-3.738159,471,4936.691041
7.729515,210,4957.793179
-3.928012,100,4970.047391
-2.472674,351,5009.476292
-11.012565,80,5018.182925
-9.839706,73,5025.851025
12.710609,185,5044.890205
-8.448471,360,5084.656218
-6.514721,32,5088.38534
-2.552441,100,5100.2814
-4.829932,100,5111.530178
-4.794904,36,5115.787646
4.958726,259,5144.663492
-1.560745,110,5156.140504
5.111958,652,5224.671466
-5.377228,66,5231.981163
17.436313,74,5239.052705
-2.098065,372,5278.716384
9.353324,652,5352.157086
31.474478,210,5376.379612
16.438923,652,5445.413818
-1.951053,48,5451.998173
2.11452,217,5474.557148
-0.983223,77,5484.331188
-14.655294,141,5500.429913
-3.613543,314,5538.029284
-7.017158,209,5559.533854
10.018978,530,5611.094068
-7.001,1,5611.423755
4.197021,324,5648.636251
-7.787257,52,5653.130387
-3.119212,31,5655.903914
-2.848627,572,5721.449203
-8.301226,163,5740.063626
23.434433,652,5805.328646
-8.048501,202,5826.956563
-10.90714,115,5839.814669
0.135759,273,5870.045499
-9.875067,100,5881.747043
-7.081,9,5882.800159
-7.011,2,5883.632645
26.308019,456,5932.12348
11.356103,652,6004.829643
-3.332637,48,6011.449417
-8.515428,652,6082.813664
-1.263972,54,6088.115015
34.816786,518,6145.878423
1.411883,94,6157.328693
-1.196024,208,6180.261599
-5.859923,177,6199.573792
0.764323,134,6214.437133
-7.001,1,6215.193779
-6.816298,39,6219.871272
-3.458158,33,6225.161485
1.693815,652,6300.49138
-7.021,3,6301.068012
30.557935,297,6331.857944
2.533335,566,6394.319464
-5.48381,141,6410.903761
-9.882748,72,6418.327245
3.330001,274,6445.823227
29.063652,652,6521.35058
-6.562952,24,6525.375074
0.008319,203,6547.659084
2.710213,90,6558.173034
-9.512135,49,6564.609201
-7.001,1,6565.401229
7.946011,319,6598.83419
13.622875,652,6666.823368
-6.39498,112,6679.538912
10.843106,652,6753.806112
11.055914,346,6793.233859
-7.001,1,6793.977898
-7.001,1,6794.72829
-7.001,1,6795.035735
-37.135802,652,6868.454461
-0.772301,33,6872.57073
6.131204,92,6883.21232
0.573062,170,6904.69861
1.151423,270,6936.475512
-1.383809,527,7000.205697
-7.473175,47,7007.184579
-20.269878,652,7080.511907
-14.120061,196,7103.396857
5.639226,113,7116.994149
7.959162,652,7181.315163
15.185309,652,7246.842651
3.446906,140,7262.040906
4.271549,652,7330.681184
8.348676,652,7405.376506
0.154347,109,7417.630078
-7.001,1,7418.503783
1.946274,392,7463.291812
-6.580652,26,7468.087922
-7.001,1,7468.432113
1.70604,103,7481.292178
-6.979347,614,7548.454977
-7.001,1,7549.583206
25.632555,652,7621.541577
-2.762931,83,7630.949997
24.695178,576,7692.235697
21.396361,307,7726.035259
-3.448403,194,7747.963187
27.617863,343,7785.529228
5.56801,176,7808.256867
-2.488507,149,7826.035611
17.855076,652,7895.503944
-0.432443,300,7926.740964
3.124828,388,7966.587502
34.244731,339,8003.760868
-3.360522,26,8006.832074
5.522156,417,8056.144795
7.594121,98,8067.372833
24.877729,447,8114.358974
33.372647,378,8159.652144
-13.214706,82,8168.412276
4.824967,212,8192.005455
6.328258,294,8222.010219
22.468195,243,8249.628113
2.488337,652,8321.137843
6.369997,652,8397.281592
-6.773897,196,8420.885742
-6.996138,3,8421.866405
