#{"env_id": null, "t_start": 1645000355.900937}
r,l,t
-14.270929,482,39.960532
-10.750243,169,53.139285
-8.60233,652,106.56481
-1.412535,652,156.099863
-6.662089,652,205.652321
-14.850378,191,222.640886
-21.232664,652,272.312225
-7.001,1,272.995909
-9.099298,144,287.068104
-7.001,1,287.781709
-5.435284,335,312.895021
-8.478467,24,314.587279
-11.224677,344,343.751807
-6.127949,6,344.794107
-5.55981,50,350.417335
-8.673088,87,357.169811
-2.988694,567,399.693051
-7.001,1,399.907399
-7.001,1,400.174037
-4.827977,652,451.995343
-7.870756,652,504.451188
-8.948529,206,520.050675
-15.975474,346,547.714375
-6.32775,652,597.137981
-6.958163,652,644.715299
-3.783317,652,696.663456
-5.442789,79,705.611773
-7.001,1,706.348734
-5.54427,269,724.687766
-7.630615,25,726.977879
-7.638339,19,728.833763
-12.564487,560,773.376869
-11.602878,37,775.799654
-6.731434,549,821.874813
-6.920335,8,823.747414
-8.828982,23,825.850338
0.038156,652,881.416517
-1.112435,652,933.01053
-9.238677,147,943.287957
-7.001,1,943.91448
-6.20292,32,946.73464
0.836902,490,984.315989
9.999,1,984.52999
-8.47832,39,987.41344
-5.878122,536,1033.945062
-7.001,1,1034.197731
1.738626,652,1083.689811
-6.293875,43,1086.178565
-4.475785,378,1113.7844
-7.00159,2,1114.710222
-7.001,1,1115.038491
-2.108528,652,1168.058712
-9.125468,20,1169.935062
-2.063087,652,1218.560065
-2.168447,382,1251.744014
-5.953372,262,1272.160348
-3.593563,74,1279.566088
-3.685452,388,1312.118075
-6.033359,183,1324.742248
-6.376163,76,1331.042681
-4.100059,69,1336.711581
-8.412648,652,1392.499039
-5.453377,29,1395.234689
-6.624567,12,1396.283767
-7.001,1,1397.035173
-7.688459,83,1403.590005
-6.398567,87,1413.358443
4.061858,652,1463.398421
-3.467178,105,1470.449973
-3.144108,225,1490.2706
-7.001,1,1490.619642
-4.180505,263,1513.791842
-7.392684,121,1524.192833
11.584113,433,1559.524012
0.729532,652,1612.059047
-1.029723,214,1632.475331
2.911541,167,1648.632879
13.14922,564,1701.503585
-7.903298,167,1713.761552
-4.746832,215,1730.35408
-6.944385,7,1731.533514
-5.032538,34,1735.454733
1.410457,181,1751.673372
0.287264,268,1772.459104
-2.006387,88,1779.999741
0.397318,90,1787.205085
-7.001,1,1787.935928
-2.927598,80,1796.138992
-4.271228,227,1814.213124
0.747867,502,1855.82301
5.288826,387,1890.019689
-5.83938,72,1897.172698
-2.283766,107,1905.666137
-1.786287,100,1913.269086
-7.001,1,1913.492336
-3.644727,200,1932.544122
-3.351187,114,1940.739435
-5.003864,62,1947.798122
-7.001,1,1948.498747
-0.79633,349,1976.117476
9.411734,245,1995.897405
0.401155,228,2013.559091
-7.001,1,2013.857196
-2.050479,462,2052.884459
-6.853826,2,2054.027906
-6.841108,37,2058.72572
8.813942,652,2109.602542
0.117313,73,2115.38595
-2.69863,146,2126.700582
5.913928,233,2148.275457
1.13242,113,2156.745851
7.615545,439,2197.391318
-7.444912,42,2203.553888
-7.001,1,2204.743211
5.233227,652,2256.449814
-1.1309,147,2267.030871
-3.070819,28,2270.076314
-9.232051,34,2273.116915
-0.19404,439,2311.003528
-2.401507,325,2342.90549
-3.716184,80,2352.700922
