#{"env_id": null, "t_start": 1645000354.7723567}
r,l,t
-9.484224,107,12.950027
-27.404433,652,62.478118
-6.583543,652,115.969485
-7.837432,478,149.537856
-7.001,1,150.237696
-15.953239,652,201.685521
-8.181052,72,207.473264
-8.492981,652,261.23
-8.401169,312,285.734384
-15.421947,652,339.560913
-8.445617,82,347.934591
-9.984523,584,392.77807
-13.285598,652,437.797839
-7.001,1,438.002193
-7.428892,4,439.548709
-5.656089,7,440.477614
-6.731425,18,444.001223
-7.001,1,444.977072
-6.445777,4,445.857996
-7.183011,244,465.971668
-7.163478,10,466.709896
-7.001,1,467.884219
-7.001,1,468.567109
-11.74073,322,491.378418
-6.166329,21,493.214748
-5.859263,301,517.462056
-6.795441,15,518.408714
-8.797527,652,571.53395
-7.40569,20,574.691658
-4.755594,652,620.230466
8.509027,652,669.677252
-5.223919,16,672.772285
-8.510576,301,694.99667
-14.282361,594,744.05566
-4.952213,71,749.379145
-2.78386,39,753.178598
-21.763865,652,803.331583
0.04074,161,818.276021
-8.972111,237,841.498406
-9.901843,652,894.641045
-7.795141,12,895.575331
-8.180287,64,900.932788
-5.915198,200,914.865213
-7.144277,3,916.107285
-15.798617,616,963.909977
-7.029314,235,982.212209
-1.381733,520,1025.758219
-3.093689,69,1031.499832
-7.201686,6,1032.38258
-13.169679,226,1049.151354
-5.607159,332,1075.515608
-11.636614,172,1088.309503
0.050304,387,1117.599444
-8.899682,652,1170.759858
5.713998,508,1208.41889
4.537525,652,1262.268969
6.24755,652,1317.820103
-7.779431,600,1369.798631
-7.001,1,1370.126871
-2.825791,499,1409.789896
-6.186124,7,1410.68118
-7.001,1,1411.387469
-7.001,1,1412.091064
-9.886151,520,1451.933823
1.365488,361,1478.455649
-6.500025,56,1483.429083
-2.689982,124,1495.919024
18.830375,497,1537.628584
-1.821805,579,1584.710385
-8.579363,429,1620.208287
-7.140402,54,1624.354819
-4.357975,242,1649.201815
-7.001,1,1649.765918
-2.442449,320,1681.759329
-6.830862,4,1682.284565
2.406908,652,1735.059503
-7.001,1,1735.723279
-5.707826,13,1736.976687
-7.001,1,1737.219455
-2.026031,147,1749.599795
-0.622368,372,1780.135328
5.399692,116,1789.959619
12.5026,652,1843.919891
-2.229197,274,1867.510805
-7.001,1,1867.785746
-7.290142,17,1870.809234
15.590782,652,1924.102657
-6.357789,10,1925.244081
-2.361258,28,1930.050872
-6.803237,173,1944.552629
-7.001,1,1944.794096
9.984959,652,2000.016999
-3.123086,208,2015.879944
-2.793333,23,2017.987965
-7.001,1,2018.632086
-0.028635,124,2029.076056
0.306275,94,2036.945799
1.480749,202,2052.051798
1.195289,402,2087.719646
-5.171602,80,2093.876362
0.276656,556,2138.22294
-7.32371,35,2141.822589
10.273332,652,2200.10345
-6.219179,7,2202.358896
-7.001,1,2202.667845
-3.333079,33,2206.866661
7.481988,571,2252.236276
-7.001,1,2252.520107
-0.940293,190,2266.058636
-2.421442,82,2273.797332
23.735031,652,2331.46916
-5.103788,34,2333.793393
6.733039,652,2397.076378
-0.69017,287,2423.900104
-7.416127,25,2426.051489
-6.366733,72,2431.253786
-7.001,1,2431.905246
