#{"env_id": null, "t_start": 1645000355.6966562}
r,l,t
-10.681059,652,53.993367
-16.084067,652,107.069102
-5.346711,652,156.622056
-14.365702,112,164.583902
-14.824246,652,216.799617
-7.547623,3,217.252677
-4.275252,99,225.212611
-22.516541,652,275.407522
-4.95023,329,302.830581
-10.892043,125,312.705291
-12.5266,319,339.858792
-10.147328,652,392.297054
-9.408865,652,437.493837
-7.001,1,438.20545
-8.998243,57,447.250916
-8.205659,46,451.056689
-8.075284,652,503.971795
-7.825793,214,520.289184
-13.661939,652,574.167349
-7.001,1,575.316467
-2.764988,652,619.786865
-7.001,1,620.056468
-0.008898,652,670.278153
-7.001,1,670.607444
-7.042927,313,694.402551
-3.162392,652,747.446391
-13.862272,255,767.033746
-8.893472,175,781.933904
-8.563843,426,815.700241
-3.270369,53,821.373834
-1.815583,62,829.867107
-6.87033,139,841.435357
-0.581805,637,893.204045
2.214311,652,943.48853
-5.631467,652,995.212775
-6.157404,219,1013.758849
-5.302943,198,1029.703196
-8.772294,348,1056.830024
0.657816,475,1093.551276
-1.832893,652,1147.05223
-5.775653,435,1179.913645
8.00881,652,1230.234456
-3.894865,122,1239.831254
-7.001,1,1240.930358
-5.61746,58,1246.216023
-4.228722,41,1248.678496
-2.847295,265,1270.629915
-1.052961,122,1281.914531
2.393611,196,1299.755296
-0.331757,212,1315.541757
-6.728977,4,1316.061917
-7.001,1,1316.276219
4.135758,359,1343.061075
-5.083514,40,1347.198757
-7.211466,2,1348.615937
-3.064412,449,1386.770752
-4.693305,367,1419.120231
-4.065467,62,1423.566815
-7.001,1,1423.910766
-6.82677,18,1426.456015
-7.235748,12,1427.774113
4.046956,278,1447.79954
19.057945,587,1494.667044
-3.673319,94,1502.034483
-7.001,1,1502.323914
-7.001,1,1503.223993
-6.836141,31,1505.568928
-7.001,1,1506.247134
9.908316,652,1561.03951
-7.001,1,1561.711881
-6.118155,302,1584.287102
-5.787881,333,1611.36182
-7.001,1,1611.659163
-2.686376,293,1638.991791
-11.537662,150,1654.829008
-7.001,1,1656.092009
8.759858,256,1679.80811
-7.408196,23,1682.817851
-1.233233,90,1689.717739
-1.818259,229,1708.57113
-6.310667,151,1721.318326
7.167143,150,1732.656539
9.277116,433,1768.263056
-7.001,1,1768.890708
-7.001,1,1769.254538
-0.033353,404,1804.227975
-4.175251,157,1817.855014
-1.539305,244,1836.309481
-7.366095,10,1837.68927
-7.999289,15,1839.140492
-3.336377,99,1847.013367
-4.114937,22,1848.971744
-2.004014,104,1859.311572
-3.689767,247,1881.185695
-6.93888,626,1934.595908
-2.27181,121,1944.924352
-6.387324,57,1951.49311
3.284119,269,1970.919257
-6.253257,21,1972.870654
-5.260774,55,1978.265915
8.642782,512,2020.38659
3.998543,335,2045.688943
-8.180042,37,2049.070927
-6.062438,46,2056.330039
-6.645863,2,2057.52225
-1.584684,93,2064.320816
-6.892636,139,2075.366117
-6.228456,4,2076.241992
9.24193,193,2091.629417
-7.066167,2,2091.939263
3.746949,194,2106.483457
-6.622735,122,2116.181529
-6.175956,77,2121.880105
-8.44565,91,2128.8927
-3.954031,37,2132.734999
-5.956603,14,2134.176381
-4.420916,72,2141.589309
-6.702641,129,2152.61489
-7.001,1,2152.836589
-3.276448,89,2159.387333
-3.456191,96,2167.361115
-8.086042,9,2169.112411
-6.51175,5,2169.623739
-7.001,1,2171.581435
14.840224,652,2231.414706
4.002545,369,2258.012039
8.4137,370,2287.869188
-3.356382,27,2291.464424
1.547258,373,2323.184111
-2.421807,63,2330.053546
-5.645497,98,2340.758873
-7.001,1,2341.051388
-6.350456,62,2348.682038
-7.001,1,2348.970371
-6.420359,23,2351.231411
-0.371303,67,2358.969773
16.456868,346,2387.678098
-4.015047,140,2402.073868
-7.001,1,2402.739187
-6.741341,56,2406.661975
0.629233,164,2420.972752
19.261276,387,2454.043844
0.880105,652,2507.909893
-7.001,1,2508.206555
-6.481698,56,2513.112479
-7.311274,3,2513.539496
-10.403531,400,2547.684534
-3.46542,30,2549.874784
-4.677191,108,2558.633211
-5.574722,11,2560.418739
11.100871,374,2590.826051
-5.107103,52,2596.785651
3.403989,353,2625.22273
18.275755,652,2681.519424
1.535738,100,2694.069499
2.566656,155,2706.1169
0.709356,602,2764.025127
-4.123866,60,2771.13642
-7.001,1,2771.416928
-7.001,1,2772.16158
-5.273894,516,2818.657212
12.852926,165,2832.309641
-6.519908,24,2835.28264
-5.700143,29,2837.621064
35.009517,570,2883.031852
11.599301,343,2912.097399
0.430268,549,2959.175036
-7.001,1,2959.567841
-3.448088,64,2966.928524
-6.755559,4,2967.708965
-7.001,1,2967.92333
-4.526412,234,2992.732709
-7.001,1,2993.931724
0.619987,44,2998.139019
-6.185428,16,2999.837679
0.218981,230,3019.431658
4.897495,88,3027.148432
-7.001,1,3027.445964
-2.864692,117,3039.282886
-2.719917,68,3044.844891
-5.942059,22,3046.384106
-7.174355,5,3046.927858
-7.284874,5,3048.234907
-7.001,1,3048.512609
2.982614,90,3056.086011
-7.915195,105,3063.807686
-6.699578,18,3065.770743
-4.027988,20,3068.063606
-2.164159,20,3070.861678
-7.001,1,3071.133806
-2.747333,248,3090.489498
14.606414,467,3134.744354
-7.001,1,3135.113726
3.407264,171,3153.170774
-7.001,1,3153.443897
-7.001,1,3154.207244
-1.633299,102,3164.52157
-6.369751,8,3166.027183
-7.001,1,3166.27222
3.192985,249,3189.491895
