#{"t_start": 1641595598.814937, "env_id": null}
r,l,t
-4.242988,101,15.478736
-7.606577,10,17.220583
-7.001,1,17.774496
-7.442266,74,23.617937
-10.308596,358,54.292096
-13.960185,652,102.956807
-34.932612,570,164.840779
-6.612576,652,208.947602
-7.001,1,209.632365
-13.94667,652,259.049231
-1.906649,628,298.58019
-9.382325,652,353.131754
-8.986797,450,383.117136
0.007626,652,425.661316
-7.808435,39,427.692787
2.25796,652,478.901089
-7.001,1,480.2443
-0.078652,652,526.95065
-5.046416,457,556.800306
-5.957275,226,572.315599
-2.937639,146,581.268007
-7.001,1,582.328521
-1.287529,244,621.971441
-4.088568,171,636.399517
-7.981474,404,659.98452
-7.001,1,660.223183
-7.001,1,660.507959
-5.124612,102,670.401935
-2.890113,205,683.924767
-6.611798,63,687.194833
-7.001,1,687.451553
-1.075599,652,731.308585
-7.001,1,732.766428
-4.029492,125,742.065839
0.930023,329,766.66128
-3.666469,652,812.427899
-6.029023,648,859.09319
-5.606807,72,863.98406
-5.892286,39,868.476306
-3.385823,429,898.849493
-6.469707,50,905.552222
4.3431,652,947.274414
-4.159944,146,957.773956
4.696347,652,1003.020484
7.344641,452,1035.857044
-7.025754,77,1040.21421
-7.001,1,1040.551952
2.09917,374,1073.776495
-2.212659,114,1081.657876
23.601639,652,1130.165897
-7.557223,6,1132.114205
-8.932395,38,1135.76017
-7.001,1,1136.0146
-7.001,1,1136.780194
1.712305,398,1170.228425
-7.001,1,1170.431596
-7.275462,8,1173.158981
1.988878,233,1186.954359
-7.001,1,1189.717585
-7.001,1,1190.036168
-7.316771,6,1190.536607
-7.001,1,1190.796486
-4.240899,225,1206.622699
-3.937461,129,1215.212907
-7.344247,34,1220.431858
1.151222,389,1247.573556
-6.555586,28,1251.748878
14.051013,502,1293.279545
-7.001,1,1293.462329
-3.48767,145,1305.133768
-1.609333,209,1320.665219
-4.582644,136,1329.557405
-2.395683,443,1368.090601
5.3762,381,1396.031749
-3.230806,79,1401.765172
-0.097176,651,1459.967151
0.486551,304,1483.054297
-7.001,1,1483.300734
-6.966731,73,1490.007259
-2.733099,156,1500.229699
-7.001,1,1500.54449
-5.338638,42,1503.248749
-7.001,1,1504.22745
-2.353597,118,1513.160856
-4.072951,85,1520.406757
4.253456,330,1550.620573
-7.001,1,1550.943729
-5.348648,56,1556.379863
-7.001,1,1557.402583
-9.489838,82,1565.754673
-7.001,1,1565.977596
0.00657,182,1577.770909
-6.850137,48,1580.850915
3.428562,206,1600.679397
3.140563,290,1620.313003
-1.665588,165,1630.969472
31.916237,652,1688.770801
-9.385007,71,1692.797359
4.289091,222,1714.497
-0.93874,204,1729.841838
2.983145,187,1743.059985
25.35683,652,1792.713903
-7.001,1,1793.349046
-7.001,1,1793.967227
-7.903257,38,1796.103637
-6.528477,7,1797.086061
16.628469,652,1852.983827
-8.125016,24,1854.232978
-7.001,1,1854.509724
0.565603,227,1873.448684
1.85197,403,1907.982697
17.757208,652,1954.83072
9.335963,406,1980.157026
9.726036,298,2009.95761
11.460122,261,2031.622861
2.84903,198,2046.649513
-1.308799,111,2054.54259
-3.3198,131,2064.305443
-5.230579,30,2066.596432
11.114188,379,2096.195757
-7.643565,100,2103.164709
-7.001,1,2103.419545
-7.001,1,2104.067792
-5.244475,48,2114.766582
-7.001,1,2115.370139
-7.77445,52,2120.445111
-7.001,1,2121.075352
-3.362825,198,2139.108514
-7.001,1,2139.378503
-7.001,1,2140.038433
-6.713692,15,2142.388916
-3.081299,58,2146.571236
2.474198,265,2166.852798
-3.526289,91,2171.868284
-7.001,1,2172.203403
-0.853638,652,2222.438334
-2.43347,112,2230.71033
4.419189,574,2284.948143
11.72614,409,2315.456824
-1.15844,107,2323.327583
-7.001,1,2323.941434
4.957206,376,2347.503604
22.826343,652,2393.096403
-4.902384,70,2399.690726
-11.739084,76,2405.654492
1.988579,230,2424.671113
