#{"env_id": null, "t_start": 1643349311.1876552}
r,l,t
-7.591696,119,17.08127
-18.465819,652,84.207346
-25.134643,403,120.800148
-5.027962,144,135.687931
-9.076767,38,139.15027
-22.383654,652,206.278678
-7.621206,16,207.618694
-3.061887,347,252.793699
-5.2776,148,267.212606
-8.137217,652,332.582357
-15.065659,32,336.969338
-8.002899,25,339.046885
-31.971872,652,408.668007
-11.578155,72,416.025864
-0.818581,252,439.290496
-4.427102,68,445.875813
-10.374157,105,456.776985
-8.530228,3,457.294719
-8.464527,110,471.130913
-3.97196,85,479.430553
-18.500553,548,532.798959
-30.694758,648,593.987687
-17.144499,509,649.50164
-7.001,1,649.803882
-9.481872,238,671.177995
-6.869189,17,673.876363
-12.301664,315,703.015866
-7.001,1,704.160544
-7.001,1,704.787815
-0.748936,91,714.416386
-13.27989,652,773.668694
-7.203775,652,836.320814
-2.881389,56,841.103567
-16.134847,652,910.729997
-7.265883,46,916.19523
-5.854408,652,982.431035
-11.217246,447,1026.784027
-7.058943,242,1050.763582
-3.541693,284,1085.7283
-7.363986,4,1088.1804
-1.638138,652,1151.496324
-5.640224,227,1174.588138
-1.819136,265,1204.893466
-7.001,1,1205.626271
-7.585101,131,1219.218241
-5.664789,109,1229.33794
-4.816257,142,1241.110871
-2.629782,169,1259.424744
-2.038008,220,1285.49255
-8.908541,151,1299.77441
-1.585907,158,1319.423843
-10.768358,265,1342.23255
0.443539,79,1352.144849
-8.090622,39,1354.859025
-3.345606,71,1360.443503
-9.28459,243,1382.501353
-7.001,1,1383.190411
-7.001,1,1383.44511
-9.056512,30,1387.226874
-7.001,1,1388.424658
-7.365061,2,1389.203531
-4.404804,34,1394.508703
9.838839,540,1453.665049
-16.710182,181,1472.445387
-2.334913,49,1475.930245
-7.001,1,1476.338253
2.72327,209,1495.4708
-7.534303,8,1497.437195
-6.56405,375,1540.669554
-10.792291,516,1597.821515
-6.443441,65,1604.862654
-5.900452,30,1607.790788
-5.116371,39,1614.21748
-5.114991,482,1661.217308
-7.001,1,1661.452745
-7.339041,13,1664.700969
-6.052811,7,1665.819465
-7.001,1,1667.790267
-2.442235,90,1681.718691
-4.852763,61,1691.909556
-0.719558,38,1700.077125
-2.145392,126,1715.299315
-5.278826,88,1726.084775
-5.534013,8,1727.307723
-7.001,1,1728.416411
-14.069901,124,1747.86149
-9.184192,585,1807.347326
-7.001,1,1807.75189
-8.903178,265,1836.838158
-0.051772,171,1856.911244
-8.561354,652,1932.247215
-6.956587,9,1933.998126
-7.001,1,1934.282243
9.069863,652,2006.19375
-2.921128,122,2019.219828
-2.183085,277,2044.87593
-2.546156,23,2048.110569
-7.001,1,2048.447221
-10.114326,106,2061.834657
-7.8626,221,2081.652029
-4.870652,73,2087.260929
-2.193311,255,2118.884699
-10.499869,60,2126.260197
-12.71358,421,2174.739274
-7.001,1,2175.019022
-3.557796,94,2187.648141
8.169405,474,2236.335815
-7.001,1,2236.671275
2.420065,194,2262.009825
-7.001,1,2262.460371
-7.001,1,2262.738608
-7.187712,18,2264.397532
-5.270465,17,2267.794021
-6.19059,44,2274.518784
-6.463422,291,2305.425031
-3.55781,172,2324.403442
-1.478831,214,2346.422019
3.723474,67,2356.031167
-7.001,1,2356.692929
1.591479,110,2368.46786
1.856917,214,2391.486211
27.750884,590,2462.457653
-8.033036,3,2463.298645
13.629288,652,2542.940573
-7.001,1,2543.604097
-7.170753,2,2545.408672
-7.001,1,2547.21901
-5.11632,13,2548.50589
25.967493,632,2615.51144
-7.001,1,2615.779629
-7.001,1,2616.008237
3.776265,79,2626.429155
-0.658593,153,2642.803647
-0.813191,62,2652.362291
-0.150247,119,2664.911068
6.462771,201,2687.986703
-5.944891,2,2688.28821
-2.876563,73,2695.637706
-3.299429,146,2709.715678
18.301512,652,2783.056159
0.144996,205,2805.106509
-0.781492,55,2814.281584
-0.958574,132,2831.22023
-8.849448,57,2836.262297
-6.113969,2,2837.112003
-6.552302,3,2838.462931
-6.7642,259,2865.070354
-2.522116,40,2869.811223
-7.05291,2,2870.503896
-7.001,1,2870.824215
-7.001,1,2871.533598
-7.001,1,2873.352556
9.914801,185,2894.525499
-7.001,1,2895.246296
-7.001,1,2895.643668
-6.588574,3,2896.703919
-2.098792,228,2921.076932
-7.001,1,2921.285425
1.224056,205,2942.421695
-7.001,1,2942.992603
-0.121653,47,2950.809666
-3.498584,101,2961.466256
-3.881394,40,2965.658804
-2.466654,67,2972.282164
17.097613,652,3055.368371
-7.001,1,3055.676501
2.287176,140,3073.825962
-7.573384,13,3075.320105
-0.503648,61,3081.798424
0.411907,46,3088.084395
-3.437151,14,3089.670542
-3.570674,19,3093.731302
-0.140687,173,3113.933648
-7.001,1,3115.071294
-7.001,1,3115.355618
-2.748124,71,3124.421456
2.768074,179,3142.851082
22.95519,487,3204.742736
-2.289815,67,3213.462162
-4.127404,38,3219.623231
-2.995461,87,3230.435953
2.150888,126,3248.428294
-6.198346,5,3250.31324
-3.91657,28,3256.08819
-2.81973,69,3265.817829
-6.208263,21,3267.725715
-1.52284,27,3271.005839
-6.321011,5,3272.09884
13.143581,366,3317.095886
-4.666916,96,3327.958387
2.731348,89,3340.409407
-6.547325,2,3341.275665
3.032419,115,3355.117053
-6.090933,7,3356.187229
6.305986,185,3378.005933
-3.120716,59,3386.823561
-1.682745,55,3391.334731
-3.060027,64,3397.896957
8.426964,206,3422.265297
-7.001,1,3424.109637
