#{"env_id": null, "t_start": 1643349310.545555}
r,l,t
-19.350995,652,69.193103
-4.282645,34,76.081773
-7.001,1,76.358629
-7.001,1,77.087768
-33.934121,464,118.678854
-9.263196,140,132.963832
-11.212922,195,154.229345
-9.732912,38,158.212716
-10.638788,652,224.642701
-7.001,1,224.942686
-5.08725,129,242.399222
-7.001,1,243.081797
-15.009152,29,249.021242
-7.001,1,249.334752
-18.530724,142,263.260649
-10.031643,124,276.582102
-5.753663,22,279.672535
-2.126421,237,302.464907
-14.241001,652,367.608796
-5.986887,8,368.849488
-7.793008,103,380.740143
-3.835456,40,385.477986
-2.736821,94,396.119998
-9.882656,652,464.027198
-5.854613,218,485.730752
-7.001,1,486.010779
-12.403822,362,520.993755
-10.353526,323,550.077518
-7.56525,3,550.521526
-7.983408,23,552.522916
-7.341042,2,553.389858
-21.918057,652,617.318508
-1.670779,28,622.418828
-2.057009,168,638.654055
-5.511864,72,646.837733
-6.511883,652,711.283654
-7.001,1,711.628657
-7.001,1,712.658876
-7.001,1,712.948025
-11.652177,44,717.412011
-19.838443,541,764.843836
-7.95876,76,773.10851
-4.06446,115,785.364941
-7.001,1,786.080309
-11.49517,197,802.016199
-6.001578,178,820.367615
-5.267256,403,858.90402
-7.001,1,859.15501
-7.001,1,859.906298
-1.539855,91,868.580634
-9.191532,48,876.115212
-29.773855,652,941.086996
-7.018056,2,943.236906
-7.001,1,943.545865
-6.86594,5,945.02256
-4.148762,652,1009.592633
-4.522443,58,1015.870313
-5.225134,43,1019.119241
-6.98536,1,1019.866346
-5.917519,3,1021.644853
-10.060628,652,1093.761792
-7.001,1,1094.477978
-7.001,1,1095.703753
-7.001,1,1096.034596
-17.604913,342,1126.905757
-3.936505,95,1135.090873
-5.84509,374,1173.76851
-19.419322,652,1240.862212
-4.672938,34,1245.067432
-5.357813,176,1266.25615
-3.915649,364,1303.652849
-7.001,1,1304.364052
-9.165001,325,1336.110356
-11.847105,652,1404.093385
-8.015424,18,1405.694409
-3.748766,14,1407.289239
-7.001,1,1407.654634
-2.558869,104,1419.179344
-2.066453,185,1442.313813
-8.125592,126,1453.214502
0.328186,65,1459.161732
-6.000357,35,1462.194233
-7.001,1,1462.397321
-7.001,1,1463.176355
-7.001,1,1463.985203
-14.933811,619,1526.933971
-4.276128,45,1531.901142
-7.763871,26,1534.551177
-5.841076,2,1535.339486
-2.779164,193,1560.695336
-6.883313,5,1561.678523
-0.081163,135,1573.294084
0.183108,194,1591.625198
-6.156938,652,1662.763528
-5.487178,16,1668.751468
-7.001,1,1670.603487
-7.001,1,1671.364792
-1.773661,59,1676.736412
-14.895334,364,1730.40883
