#{"env_id": null, "t_start": 1643349310.9779477}
r,l,t
-8.985189,13,7.928558
-25.181618,652,72.032707
-8.370001,9,73.439771
-7.111224,3,74.444935
-7.001,1,74.786695
-7.001,1,75.088408
-8.423159,652,137.278551
-7.74963,623,202.310998
-5.626502,239,226.058883
-5.151913,66,234.792434
-8.322832,160,257.035378
-22.579696,652,322.38728
5.018635,652,391.856724
-9.230164,221,415.097832
-7.001,1,415.385826
-10.949692,363,449.237426
-7.001,1,450.506449
-12.291521,652,515.932332
-7.768898,27,518.499576
-6.53036,354,552.090641
-5.381544,278,579.222011
-2.683619,315,612.673436
3.297584,103,623.545026
-7.001,1,624.162491
-16.44692,652,686.323082
-6.673632,33,689.440856
-7.001,1,690.159699
-7.128518,2,690.558625
-10.13402,47,694.662997
-7.001,1,695.915351
-8.06695,223,720.42171
-17.339239,522,766.276073
-7.434202,44,771.018239
-8.370384,38,775.297424
-6.826222,34,778.245435
-7.999594,270,803.756515
-26.294576,652,866.895842
-5.327468,91,878.720359
-4.449166,140,890.503229
-10.618847,126,904.588003
-8.542618,70,914.740281
-9.418152,518,964.964672
-6.364703,4,965.580877
-3.120712,99,976.416253
-4.507317,61,984.48184
-11.65369,363,1020.804585
10.631518,652,1092.880765
0.090647,55,1101.063519
-0.563927,446,1140.409294
0.337688,89,1148.93247
-6.689766,1,1149.586861
-7.001,1,1150.153483
-4.33367,31,1153.76767
-7.001,1,1154.559981
-5.591731,15,1156.011728
-5.12588,145,1168.871296
-5.608207,28,1172.508581
-5.41282,11,1174.036542
-7.001,1,1174.265849
-11.759952,32,1180.334172
-6.903799,4,1181.361652
-5.357327,214,1203.565445
-6.903104,64,1211.058702
-13.808794,194,1229.256801
-4.673627,322,1261.283498
-7.001,1,1261.690285
-7.650482,6,1262.929451
-4.547365,186,1282.464211
-7.274851,179,1300.94188
-7.001,1,1301.239598
-7.001,1,1301.933179
-7.339886,77,1311.92675
-16.592414,652,1372.532666
-9.337557,565,1439.072831
-7.001,1,1439.33123
-1.97129,237,1460.951469
-4.235501,435,1502.791304
-11.27954,82,1513.996585
-9.807113,151,1530.432817
-7.001,1,1530.808591
-1.990011,113,1546.047662
-7.576599,34,1550.911803
-7.001,1,1551.204808
-15.576595,100,1562.939758
0.406635,145,1576.244267
-0.007817,120,1587.757448
1.250197,52,1592.92378
-7.001,1,1593.622661
-7.001,1,1594.483415
-3.60276,51,1601.016598
-6.641098,9,1602.481218
11.688062,176,1622.03407
-5.904455,66,1628.288298
3.636972,324,1658.116347
-9.219943,114,1678.973166
-9.49889,68,1690.948381
-7.001,1,1691.288269
-6.631281,4,1692.966118
-7.001,1,1694.445392
-5.986744,182,1717.141138
-7.99935,7,1718.953449
-6.844959,12,1720.076043
-1.323655,156,1745.359974
-2.747677,159,1759.657277
-7.001,1,1759.964885
-2.801668,19,1762.414161
-4.752717,287,1791.856508
-7.001,1,1792.170016
-7.001,1,1792.637604
-7.001,1,1792.977752
-3.372438,132,1806.616551
7.232401,485,1862.495691
-7.001,1,1863.189021
-7.553845,162,1880.542588
0.884324,126,1893.732273
-5.366046,3,1895.049401
-7.001,1,1895.857068
-7.001,1,1896.629492
-6.066694,46,1902.564338
0.047749,86,1910.926089
-2.424669,652,1983.41576
-7.001,1,1983.725633
-4.202948,11,1985.742679
-3.140178,21,1988.33418
-2.53894,620,2052.465828
-7.001,1,2054.434723
-29.026645,406,2093.32609
-7.650004,5,2094.018165
-6.781201,140,2110.729064
-1.76361,105,2123.39298
6.027747,517,2184.103488
-7.01937,19,2186.360024
-7.001,1,2187.04004
-7.001,1,2187.364011
3.184815,110,2198.661092
1.301523,29,2202.563299
9.999,1,2202.793335
-2.793717,214,2223.520735
-7.001,1,2224.280062
-3.133455,96,2232.427752
-7.337982,11,2235.079886
10.318947,652,2312.442577
-1.870109,35,2317.685687
-6.588174,8,2318.957346
-6.822506,38,2322.650078
-10.927277,181,2342.271233
4.03727,182,2363.105478
-8.389507,12,2364.570847
-7.001,1,2365.30833
-7.998421,110,2377.978921
-2.13839,150,2392.472612
-0.392673,57,2399.170807
-6.084196,14,2400.996748
-7.54338,25,2406.011865
-7.001,1,2406.239933
-2.114326,98,2414.498599
-3.24299,97,2428.51014
9.219257,192,2449.820932
1.696271,146,2468.992605
-9.373642,14,2470.185502
-5.28301,652,2552.454896
-6.119863,73,2560.469477
-4.546105,69,2568.378114
-7.193275,9,2570.381145
4.632282,311,2600.918793
-6.88643,3,2601.352231
-1.402616,28,2605.336478
