#{"env_id": null, "t_start": 1641713476.023467}
r,l,t
-14.220497,54,16.110142
-15.840143,85,30.464335
-7.139903,2,31.312603
0.611296,164,54.455163
-96.10191,652,151.647276
-6.712701,11,153.232306
0.567885,62,165.78556
-23.838327,126,185.582021
-40.302393,185,212.28302
-9.47759,74,225.954634
-7.001,1,227.190103
-12.16061,45,234.253999
-3.994985,44,239.206542
-36.465885,249,274.463934
-16.12087,185,299.694678
-12.881058,68,308.092209
-7.001,1,308.380418
-41.367059,289,348.258884
-7.001,1,349.0478
0.81875,129,363.859396
-8.101532,37,371.262246
-9.173093,30,374.749391
-29.505052,197,397.454332
-6.789946,7,398.856559
-13.315178,24,401.563778
-6.553815,11,402.705361
-50.067371,373,448.498362
-7.001,1,449.272861
-43.34646,355,493.429751
-12.735271,86,504.882305
-5.302428,84,517.386466
-7.002,2,518.103322
-14.738648,95,532.119458
-7.001,1,532.885453
-7.001,1,533.698391
-3.04798,160,557.759596
-34.737813,355,607.264233
-18.569952,103,621.035414
-10.736116,228,649.406413
-7.199233,3,649.941703
-13.830302,238,678.207628
-10.280792,41,684.922794
-7.001,1,685.225876
-18.939664,250,717.088312
-10.88275,141,734.791844
-4.663737,474,793.690907
-9.553188,42,800.081033
-9.574798,15,802.1971
-5.920127,652,876.765394
-7.001,1,877.544688
-5.843891,394,922.935892
-25.55478,652,1000.226824
-6.906143,3,1000.767287
1.431688,98,1012.198676
-8.49545,14,1013.722225
-5.499898,8,1015.157779
-7.011,2,1015.579216
-11.046837,25,1018.427375
-12.803771,94,1029.801601
1.109704,72,1038.287085
-7.011,2,1039.205163
-17.962052,136,1056.855702
-13.468381,389,1101.862396
-10.307817,177,1121.147124
-7.001,1,1121.958312
-8.886264,652,1194.35321
-7.540917,652,1268.037117
-4.175512,185,1290.549146
-9.41264,652,1363.278447
-7.001,1,1363.612402
-11.349282,652,1433.021836
-13.214933,652,1502.438391
-8.430746,58,1508.586846
-7.001,1,1509.583781
-11.072606,73,1517.635986
-8.040852,89,1526.840488
-5.942088,34,1529.895857
-7.001,1,1530.232177
-11.855119,387,1572.079963
-8.726864,98,1582.734434
-6.058237,18,1584.462345
-23.476592,616,1651.865547
-5.608839,652,1719.174939
-18.746126,375,1761.31968
-10.019862,27,1764.038727
-2.560285,652,1836.863718
