#{"env_id": null, "t_start": 1641713475.9733741}
r,l,t
-11.378638,22,10.37231
-7.001,1,11.11319
-18.322323,42,17.836067
-8.235775,5,18.593894
-7.001,1,18.866824
-40.135682,321,65.205432
-7.773388,147,90.695751
-42.17704,201,122.103513
-5.438649,8,123.095532
-24.142555,102,135.991892
-16.725362,126,154.3364
-10.015502,17,157.195367
-7.001,1,157.481594
-7.001,1,157.845123
-19.833887,226,194.922681
-11.82806,35,199.974299
-7.001,1,200.311169
14.385235,46,207.549634
-5.636485,68,218.055157
-7.001,1,218.336873
-24.171018,208,250.061555
-14.637,168,273.427282
-43.678115,453,337.135911
1.254176,75,345.44861
-14.938376,74,354.932669
-15.804959,92,367.878286
-4.507462,316,407.576991
-13.906917,170,425.850673
-7.001,1,426.175116
-3.810759,53,432.665303
-0.603773,168,455.549747
-6.984839,3,456.017072
-40.921292,447,513.756662
-14.831304,70,522.136864
-7.001,1,522.566264
-7.001,1,522.944447
-7.001,1,523.320393
-7.001,1,523.615319
-7.311023,17,525.949937
-7.968056,5,527.51572
-3.241027,97,539.467462
-7.001,1,540.490424
-7.001,1,540.863194
-10.390578,16,544.015021
-3.485934,228,574.610248
-7.001,1,575.424279
-14.015253,98,591.664084
-20.886792,206,619.908489
-7.001,1,620.282827
-21.98542,196,644.47621
-7.031,4,645.118896
-4.86535,26,648.242973
-23.731491,159,666.496055
-12.157712,64,674.376974
-7.001,1,674.785553
-7.001,1,675.172205
-28.645258,652,760.549463
-7.001,1,761.321833
-7.001,1,761.76702
-15.227736,61,768.710614
-15.654048,125,784.272233
-1.885284,652,860.593001
-2.016122,201,882.818354
-2.019272,57,889.203962
-7.515833,480,948.641282
-7.001,1,948.950076
-14.6443,136,963.400843
-12.909342,652,1042.058127
-1.571058,652,1117.642153
-8.45485,115,1130.921135
8.656191,534,1189.912986
-13.643448,115,1204.103656
-11.663974,406,1249.591155
-16.804095,652,1322.166407
-7.001,1,1322.868163
-7.125196,3,1324.566468
-8.178224,109,1336.605032
-3.854589,535,1394.267572
-9.883373,652,1465.461413
-11.651499,652,1535.011877
-9.183818,257,1561.627854
-7.001,1,1562.048882
-17.402213,285,1591.850265
-4.014881,652,1662.554511
-4.702832,652,1731.022996
-4.159051,652,1800.180017
-5.788431,8,1801.474658
-10.170389,191,1825.72578
-7.001,1,1826.502331
-10.509116,652,1894.073635
-7.001,1,1894.748649
-7.217817,652,1961.676547
-5.909419,652,2032.713557
-1.307389,652,2103.837237
-5.679333,652,2173.526348
-7.001,1,2174.039701
-8.347429,31,2177.284972
-2.585731,652,2246.768696
-11.257471,179,2265.9805
-6.173359,652,2337.556013
-9.144201,137,2351.870663
-2.551912,652,2424.372319
-7.144886,652,2497.198565
-4.879,652,2573.201474
-7.001,1,2573.989128
-7.001,1,2574.38382
-6.725731,652,2646.604408
-6.076282,652,2710.744705
-7.001,1,2711.223236
-7.001,1,2711.952118
-7.011,2,2712.892766
-7.001,1,2713.616014
-7.740758,96,2725.517218
-8.418861,652,2795.966456
-5.71763,652,2870.161516
-6.60373,652,2938.78781
-5.068122,652,3005.820835
1.953558,652,3071.365639
-11.637154,652,3144.170257
-10.44492,652,3218.157658
-7.640357,76,3225.714294
-7.001,1,3226.665059
-2.247074,652,3296.712694
-4.917358,44,3302.350626
-7.001,1,3303.477318
-7.178147,3,3304.144144
-7.749906,78,3311.506084
-2.752176,652,3378.44769
-6.195187,244,3406.305061
-7.407236,186,3428.741434
-0.728639,652,3497.128224
-9.144761,652,3572.614608
-7.001,1,3573.280112
-6.638142,7,3574.642003
-2.428803,652,3647.675845
-18.273059,652,3719.171786
-8.140105,23,3722.028451
-7.021,3,3722.468981
-7.001,1,3723.203778
8.168719,652,3794.204569
-7.001,1,3794.545569
5.580267,652,3867.264289
-10.847771,652,3938.521783
-7.001,1,3940.061475
-1.257435,652,4010.865585
1.233716,652,4081.620204
