#{"env_id": null, "t_start": 1641713476.3286436}
r,l,t
-22.432724,91,21.076557
-7.001,1,21.816582
6.863037,193,49.555142
-9.77248,9,51.927586
-7.001,1,52.593338
-10.011956,60,59.356193
-6.103708,47,66.011399
-19.128951,91,77.750506
-5.943438,20,82.939985
-1.33366,69,95.413181
0.465013,98,113.415984
-7.001,1,114.152758
-9.498659,10,115.635386
-27.878037,112,129.849828
-7.001,1,130.213536
-22.200902,357,186.38204
-8.169465,25,188.864257
-7.001,1,190.04918
-10.794073,370,245.532427
-5.163007,37,251.32637
-13.093453,53,258.903793
-7.001,1,259.731999
-4.257619,38,265.202424
-12.361643,27,268.628197
-7.149279,5,269.790436
-5.621602,35,273.7882
-11.162361,315,317.981746
-7.573532,10,319.190094
0.238934,56,326.558814
-16.376309,91,339.464071
-5.820806,14,340.90722
-25.942619,135,357.046044
-7.001,1,357.327426
-5.85945,19,359.577751
-7.001,1,360.252421
-14.392535,48,368.221624
-10.864657,54,374.897938
-4.776486,109,387.593554
-7.547069,8,388.661295
-8.130057,28,391.275387
-7.001,1,391.637147
-31.868739,245,421.757836
-21.454219,652,502.785274
-18.915266,189,531.8102
-11.876896,76,541.792455
-7.001,1,542.562195
-10.831901,48,551.725733
17.804924,139,568.367311
-7.001,1,568.673907
-10.412741,55,576.285244
-7.001,1,577.016083
3.273678,159,601.719107
-9.835465,16,604.452425
-7.282676,61,612.232681
-18.827218,307,651.286834
-3.806014,115,663.295132
-29.435868,652,749.346925
-14.973522,117,764.097908
-11.836705,652,841.222915
11.359232,128,854.567815
-15.811127,254,884.600828
-12.248237,49,890.264552
-10.394468,163,908.080889
-3.971097,24,911.926557
-5.201078,21,914.338215
-17.704613,116,929.013025
-2.917427,60,937.03605
-7.001,1,937.894397
-8.011718,14,939.53833
-11.940529,46,945.917099
0.910504,303,980.056786
-6.976074,18,981.982957
-7.001,1,982.309406
-5.044862,16,984.507451
-7.001,1,984.836933
-19.151689,652,1063.809496
-9.412614,53,1070.264482
-13.493523,547,1133.148729
-19.823071,250,1159.749402
-15.291585,284,1191.773698
1.933743,383,1234.261138
-7.001,1,1234.56108
-2.347382,78,1243.071365
-7.001,1,1243.446501
-16.578376,160,1261.730905
-7.363755,15,1263.685805
-12.614853,76,1271.931707
-12.364449,160,1292.320112
-10.219204,652,1364.714371
-4.672104,279,1393.216242
-7.001,1,1393.581401
-3.793907,55,1399.015623
-6.818585,80,1407.956804
-1.894278,652,1478.789804
-7.001,1,1479.43758
-12.046634,121,1491.095952
-5.88688,25,1493.350197
-6.392889,52,1499.370596
-5.757686,652,1569.167388
-17.560817,645,1640.735589
-3.567381,180,1658.567243
-4.595122,212,1680.604369
-9.934068,652,1749.549528
-7.001,1,1751.008333
-5.842325,652,1822.685821
-7.585855,89,1833.876894
-7.001,1,1834.298879
-5.079177,652,1902.437883
-7.031,4,1903.021295
-7.032053,652,1969.3936
-3.385438,652,2040.215329
-7.001,1,2040.517048
-6.379671,652,2110.81566
-4.070028,652,2181.141555
-9.767978,652,2250.840057
-4.467711,652,2320.54979
-7.001,1,2320.859174
-8.877036,135,2335.511583
-10.27643,652,2407.372452
-7.607328,652,2480.405068
-7.402012,5,2481.525437
-4.313417,652,2557.111953
-7.001,1,2558.195266
-7.001,1,2558.958161
-0.582225,652,2630.686421
-7.001,1,2631.326585
-7.49341,652,2696.905503
-6.422841,652,2770.270478
-5.410271,652,2839.812417
-7.001,1,2840.696156
-5.80864,652,2914.606775
-4.834486,652,2979.311455
-6.926388,652,3046.892534
-8.109753,652,3118.69594
-3.352938,652,3190.929898
-0.838114,652,3263.966771
-17.419308,652,3336.791481
0.160589,652,3401.34685
-3.796965,151,3419.026467
-7.001,1,3419.349895
-6.940939,652,3488.276079
-7.894883,302,3522.85189
-7.041,5,3524.045612
-8.412372,17,3526.283941
-7.783614,652,3601.47873
-7.513606,49,3606.172652
-20.773069,652,3677.926146
-7.01,1,3678.235432
-6.941941,161,3694.941794
-6.926394,24,3697.419749
-7.001,1,3698.087496
-10.923943,486,3756.40288
-1.842117,652,3826.589039
9.999,1,3826.924591
-7.001,1,3827.335881
-2.870586,592,3892.409137
-2.80608,652,3964.136769
-1.005988,652,4035.200627
-4.131736,652,4107.238021
-4.910785,652,4179.350609
-4.246775,652,4253.648034
-15.551264,652,4320.670033
-6.981732,652,4389.562833
-4.841627,299,4419.217706
-3.494116,652,4489.445814
-7.001,1,4490.678082
-7.001,1,4491.004316
-10.226147,124,4503.717961
-7.001,1,4504.066925
-10.20896,652,4577.415033
-13.185316,571,4641.031239
-4.379232,276,4668.017366
-2.982402,652,4736.653128
-6.707753,71,4745.843886
-5.862421,652,4815.9343
-8.62479,514,4870.886996
-2.64051,652,4939.570926
-6.272717,652,5008.876156
-1.995784,652,5081.346029
-7.001,1,5081.637364
-5.639363,386,5126.206838
-7.001,1,5126.847896
-4.239344,73,5136.647411
-10.121694,652,5207.061814
1.385821,652,5277.497777
-7.001,1,5277.792914
-7.90465,5,5278.507774
-9.599167,29,5281.495151
0.826799,302,5316.406718
-7.001,1,5316.786274
-0.776326,652,5388.898943
-5.382287,624,5455.686062
-1.673671,652,5528.060713
-3.056107,179,5547.844635
-0.83495,123,5562.219935
-2.712892,132,5576.511084
3.763933,415,5622.976639
-7.779059,62,5632.673326
-7.319198,652,5706.198511
-9.996822,560,5769.652344
-7.485646,652,5847.661582
-4.676936,65,5857.495237
-0.113855,652,5926.362684
-7.001,1,5927.041378
-7.001,1,5927.837946
-7.001,1,5928.165022
-7.011,2,5928.662961
-0.166945,652,5999.820602
-10.433024,652,6070.349004
-4.299576,652,6143.462269
-10.239952,652,6211.876943
-7.001,1,6212.211045
1.865152,652,6282.021175
-4.14197,652,6356.734074
-3.465648,91,6368.320405
1.491364,652,6442.880765
2.531526,652,6515.250448
4.092234,652,6594.28932
-4.542159,652,6667.773404
1.420254,652,6737.430146
0.602555,578,6800.493528
-2.287389,652,6880.507349
0.685911,652,6956.764014
-8.048847,652,7032.808352
-2.220232,652,7104.658015
-4.9858,652,7176.303495
-7.306712,141,7192.784231
-6.9211,25,7195.958282
-2.821092,385,7243.899608
-7.001,1,7244.663666
-7.001,1,7244.975854
0.62155,139,7264.091461
0.233886,542,7324.160979
2.832203,292,7358.305119
1.675725,184,7378.361873
-7.159112,7,7379.728415
-2.830935,652,7457.291296
-7.303872,279,7489.580441
-2.85994,276,7521.665549
6.538608,304,7558.601632
-7.001,1,7560.505154
-7.001,1,7561.668755
1.925149,652,7635.453306
-5.911055,17,7637.645404
-2.154302,385,7683.324543
1.620628,442,7734.952166
8.205482,652,7807.54917
-0.476616,652,7879.317162
-7.001,1,7879.937189
17.985986,99,7891.255364
-7.001,1,7891.970603
-5.728651,45,7899.091728
1.384368,158,7917.623294
1.264771,272,7949.309629
-3.285522,267,7980.834785
-7.001,1,7981.210609
-7.650266,72,7989.745194
-7.26603,5,7990.802192
-6.325899,3,7992.625937
9.385234,652,8063.771251
2.683044,652,8140.890784
-7.001,1,8141.206585
-4.157129,73,8149.584842
-6.553249,119,8161.696126
1.565053,427,8207.365796
-7.001,1,8208.492851
6.333644,652,8282.899815
-7.001,1,8283.807022
3.639197,652,8355.531396
-6.699517,175,8375.687471
-7.011,2,8376.721599
-5.849295,183,8396.840195
-5.768946,13,8398.424184
-6.642564,652,8470.829355
-0.622436,158,8489.969052
-7.001,1,8490.625992
4.697619,652,8558.013284
3.815196,301,8591.231074
7.086943,309,8624.223603
-2.909512,288,8661.799957
-4.256528,54,8668.146565
-0.023332,172,8689.265559
-7.001,1,8690.096133
4.497226,544,8751.433442
5.465461,652,8823.227602
-3.86574,449,8878.353993
-7.001,1,8878.596726
12.354738,652,8955.871467
1.149062,257,8984.295887
-6.913768,3,8984.96559
-7.001,1,8985.263942
-4.028668,178,9006.778693
-4.374534,40,9011.647213
-7.001,1,9011.976439
-7.001,1,9012.77183
3.322667,652,9091.193918
4.000423,652,9166.449353
-7.001,1,9166.798736
-3.447301,116,9180.713436
-0.72786,277,9214.478307
-5.857381,101,9228.36482
-4.071988,65,9237.151773
-5.347619,30,9242.396729
-4.39406,51,9248.282583
8.032116,652,9323.896319
-4.8174,4,9325.369346
-7.796539,9,9329.923226
-3.39567,39,9334.588475
4.734785,419,9383.909924
25.435022,251,9415.052451
0.394384,342,9458.16574
-7.001,1,9458.883651
-2.434716,104,9470.790162
-7.001,1,9471.651407
-8.206811,27,9474.828253
5.011107,652,9548.741689
-3.196377,139,9562.768059
-7.001,1,9563.821428
-3.701833,81,9573.31633
13.089653,452,9625.858438
-4.80401,64,9633.459529
-6.882535,5,9634.238413
-5.326985,141,9653.484456
-7.001,1,9653.788858
