#{"t_start": 1642007555.5557373, "env_id": null}
r,l,t
-16.404713,180,22.440656
-7.001,1,22.917278
-10.638686,323,49.030427
-7.001,1,49.302917
-8.199057,101,65.255468
-7.001,1,65.862239
-6.628199,501,101.244916
-5.893416,40,104.046051
-17.869598,270,124.587009
-6.926832,139,135.022034
-7.214408,494,173.396213
-14.425564,178,189.454762
-7.001,1,190.075542
-9.678117,56,195.015445
-7.284621,68,200.499708
-7.001,1,200.757113
-8.401483,36,204.337775
-14.175929,122,217.485787
-7.938482,45,220.209544
-6.692684,79,227.3325
-10.339632,82,232.051108
4.90407,652,281.292578
-8.441092,578,325.068141
-8.910781,541,359.24157
-8.752526,42,363.472665
-9.616313,652,414.861389
-7.001,1,415.494075
-7.003911,7,416.460138
-7.001,1,417.034646
-6.094265,168,425.500404
-3.919792,299,444.062177
5.933858,569,481.865542
-5.067582,46,485.286005
2.472295,591,525.758124
-7.001,1,526.04119
-2.978692,331,548.021391
9.426262,652,591.788196
-7.41811,213,606.867494
-2.5351,623,654.595788
3.187746,652,700.24256
-5.744675,652,745.687871
-9.164779,211,757.507367
-7.001,1,758.163031
-7.001,1,759.750297
-8.53161,62,765.001758
-4.490217,624,805.598532
-6.486906,27,807.226562
-3.948611,270,824.979233
-8.719026,36,831.794548
-7.001,1,832.48733
-7.001,1,832.730358
0.071155,652,879.101063
16.28354,652,937.563739
-2.766283,145,947.243081
-1.953534,290,969.888419
-6.610379,11,971.097799
-2.029195,142,981.973108
0.400796,352,1008.161556
-3.689144,219,1030.081034
1.737746,360,1054.203022
3.022262,315,1076.0648
-5.38521,213,1088.398791
-9.203688,192,1102.47022
-7.001,1,1102.678329
-7.001,1,1102.977246
8.011878,450,1134.507505
-7.001,1,1135.525241
-8.037346,107,1144.818352
6.424822,507,1190.345033
6.592577,366,1221.595207
-7.001,1,1221.857676
-7.20247,10,1222.514515
-5.974403,251,1239.607777
-2.917568,154,1251.085
2.665962,288,1272.46259
0.781893,271,1291.159916
-7.266698,182,1303.191476
-6.814955,5,1304.453358
-1.136421,120,1312.05536
9.479452,541,1348.405815
-3.142066,173,1360.503326
5.697895,652,1412.88631
1.966447,247,1436.451731
-7.001,1,1436.670413
-7.001,1,1436.879483
-7.003648,3,1438.945271
-7.001,1,1439.586952
-7.001,1,1440.673456
-4.086968,96,1449.313778
17.729657,652,1503.893039
-0.837164,114,1512.082734
-3.462745,68,1517.225052
-7.436659,9,1517.896972
-7.001,1,1518.159884
-7.018855,4,1519.351764
1.248696,267,1541.538594
-7.001,1,1543.097267
-6.633747,7,1544.369321
-5.877319,246,1569.233714
-7.224629,303,1597.273408
-7.001,1,1597.526782
1.157725,209,1614.792074
-7.001,1,1615.432178
-1.042039,279,1634.033569
-2.120115,149,1645.866064
2.091572,380,1675.234517
11.472678,652,1727.755501
-7.001,1,1728.091919
2.389393,197,1746.548662
5.150581,277,1771.659827
-7.265902,15,1773.620889
-1.335519,105,1782.684296
3.144975,472,1815.433126
-5.888359,141,1824.700416
-7.001,1,1826.128195
3.15754,196,1839.391769
-2.795025,84,1848.896256
0.64635,185,1866.441876
-4.263635,143,1878.588098
-7.001,1,1879.679979
-1.047694,110,1887.58095
7.625164,359,1915.721477
-4.930497,33,1918.169673
13.763142,652,1972.340058
-0.945448,127,1982.242483
11.482903,652,2036.342946
9.797257,338,2064.24157
7.218611,220,2083.291871
-7.001,1,2083.576609
6.936884,276,2104.499096
-4.721434,37,2108.260189
-7.001,1,2108.879637
-7.001,1,2109.967041
3.631209,173,2123.148568
-2.345564,108,2131.96745
8.692997,267,2160.810673
15.117769,372,2186.779002
-5.1767,157,2199.64865
-0.809877,111,2211.004481
-2.873341,78,2217.416953
-1.709835,87,2223.326449
-7.001,1,2223.650829
-7.001,1,2224.278071
8.20595,237,2244.983922
-7.001,1,2245.246387
6.062482,288,2265.732191
-7.001,1,2266.845167
20.103522,278,2291.523432
-2.416835,120,2302.709589
-7.001,1,2302.915843
-7.001,1,2303.579164
0.613567,200,2323.796318
2.804328,181,2336.28107
5.236369,217,2350.272234
-4.422776,41,2353.463448
31.488861,403,2384.630778
-2.662808,73,2395.001415
10.490449,298,2420.925295
-7.001,1,2421.167647
-7.001,1,2422.226711
-7.001,1,2422.908812
-7.001,1,2423.159744
-7.639567,19,2424.79215
27.522104,496,2465.41214
-7.417346,112,2476.652697
25.346763,534,2522.218819
