#{"t_start": 1642007554.5213995, "env_id": null}
r,l,t
-13.920599,544,53.924331
-7.001,1,54.196595
-7.001,1,54.968046
-7.110623,2,56.578001
-5.710065,34,60.741424
-8.323256,35,68.925203
0.967601,652,114.145562
-6.38555,84,120.313272
-7.498107,23,121.760918
-20.565119,357,149.046326
1.029328,652,204.902995
-2.126127,152,219.948824
-14.799382,652,265.173767
7.864827,652,318.85124
-7.001,1,319.504536
-3.805872,652,361.05484
3.121408,320,385.29305
-10.09636,182,402.302757
-19.861923,448,431.976888
-7.70539,426,457.398446
-7.001,1,457.729115
-9.332625,58,461.738399
-7.001,1,462.352571
-7.001,1,462.691124
-3.115335,203,476.735872
-6.384068,558,513.777872
-7.90822,355,538.766591
-0.187768,232,553.440221
-3.779477,282,573.267949
0.78927,226,587.621508
-11.572565,342,614.433017
-7.001,1,615.069515
-7.001,1,615.732889
8.193226,652,664.383846
-5.743419,86,671.412935
-7.763779,151,682.453272
-0.714871,427,710.772532
-7.001,1,711.45125
-9.749159,78,716.138648
-1.24822,287,732.377117
-7.001,1,733.021753
-4.293519,501,768.752707
-10.128224,85,773.467639
-6.909384,156,783.59921
0.945851,395,810.767025
-1.365762,268,832.434099
-4.057845,66,838.042594
15.264124,652,884.297674
1.164574,374,920.567517
6.278192,580,963.771383
-7.001,1,964.066442
17.620175,652,1012.963009
-4.015279,167,1033.476222
-4.383393,243,1047.321345
-7.001,1,1047.611748
12.826276,652,1092.481047
20.936434,652,1140.496687
1.533851,167,1157.649971
-7.001,1,1157.92854
-7.001,1,1158.226275
-1.894669,102,1166.957819
0.028146,192,1183.658508
-0.679361,211,1199.164793
-8.47842,45,1203.427152
-6.28797,14,1204.862151
-7.001,1,1205.199297
-7.001,1,1205.487419
-7.486332,141,1219.170887
-5.861084,48,1221.681751
4.719854,244,1238.068623
-7.001,1,1238.368914
-2.267201,99,1244.95454
-7.001,1,1245.614321
1.727224,521,1283.65314
1.516368,226,1298.898057
-7.001,1,1299.379656
1.490078,221,1314.016837
5.827606,302,1333.991977
17.371659,652,1382.080726
-3.43298,63,1385.870519
1.249706,145,1397.441656
-10.31108,279,1421.215853
-7.001,1,1423.921
-6.946532,5,1424.787494
6.755171,308,1457.693285
-7.001,1,1458.014966
-7.001,1,1458.626175
-6.050467,57,1461.377461
-5.827114,66,1470.443639
6.004546,307,1491.873358
-7.001,1,1492.531669
-2.400311,116,1500.666226
-6.856528,3,1501.012136
-6.420248,54,1505.975064
-4.414052,74,1510.790707
2.683711,244,1533.031677
2.110138,185,1550.180451
-6.656634,7,1552.400846
-7.001,1,1553.772879
-7.001,1,1554.078171
-7.001,1,1554.932472
-7.001,1,1555.574979
-1.777035,110,1562.768704
-3.562148,140,1573.860821
-7.001,1,1575.162461
0.794161,169,1592.095083
27.401131,652,1640.249231
-7.001,1,1641.650659
-2.260647,144,1655.106936
1.9024,273,1673.177717
-0.108403,157,1687.49727
-0.936111,285,1708.171807
7.839642,575,1756.841766
-4.122245,63,1765.741359
-7.915365,24,1767.060915
-7.001,1,1767.67252
-7.001,1,1768.336097
-8.012691,21,1770.669347
30.370193,652,1818.970134
18.653374,652,1872.642646
0.627023,385,1906.643281
4.091309,240,1923.117502
2.624014,492,1964.170008
11.097848,400,1997.743116
-7.001,1,1998.401022
-7.001,1,1999.047693
32.282176,385,2027.469027
-7.001,1,2028.104459
-6.220005,32,2030.429779
-5.67154,57,2034.50371
3.299561,216,2054.033662
2.301498,155,2068.548571
-0.780468,92,2074.263194
-6.745008,5,2076.076929
-4.222779,139,2088.053719
1.592776,150,2098.186752
7.103959,652,2158.59991
-7.001,1,2159.685158
13.026389,334,2183.671074
-4.712938,214,2202.8338
5.120191,344,2233.019004
1.833292,153,2242.726222
-5.829398,33,2247.626999
16.201481,402,2277.839293
-3.888804,74,2286.067593
-1.203173,104,2294.516915
17.419021,363,2329.681096
-7.001,1,2329.875106
-4.070056,132,2339.417348
15.629433,652,2386.976115
4.86506,245,2412.468686
-2.091964,109,2420.352072
-7.001,1,2420.660173
-5.478125,31,2426.876302
-6.973151,4,2427.224265
0.73149,140,2438.601288
-0.750616,178,2449.486787
-8.12295,65,2455.40589
-2.832302,84,2464.785544
4.224694,334,2492.223825
-7.001,1,2492.92979
-7.001,1,2493.662463
-5.965253,16,2495.134231
-4.280758,61,2499.487791
-7.001,1,2500.45085
12.881444,357,2533.283006
7.244048,301,2557.169585
9.649795,220,2574.679216
5.640589,220,2587.795253
1.708603,306,2619.698472
1.40173,138,2631.772934
1.937505,215,2650.718826
-7.001,1,2650.943383
0.664938,170,2665.085418
-4.142817,84,2670.915661
6.916604,374,2699.615667
9.914714,262,2720.791928
1.371633,164,2735.344915
1.005456,114,2744.572091
-3.657743,100,2753.701972
-7.001,1,2754.783971
8.978944,265,2771.128453
-6.875674,4,2772.196167
-7.001,1,2772.465737
-0.144704,104,2781.530368
-7.001,1,2781.78464
-6.607111,13,2782.586569
-7.001,1,2783.519921
0.214411,127,2794.9688
-7.001,1,2796.474413
-7.001,1,2796.711175
-3.01976,113,2808.441693
-7.377178,7,2809.355011
-7.001,1,2809.663876
3.755714,192,2825.935021
-5.057339,78,2830.501229
-6.497829,40,2835.778478
-7.339892,19,2837.151476
19.068737,383,2868.564298
0.776996,290,2885.668213
-0.813211,102,2895.358557
-5.650113,31,2897.553412
-4.111817,135,2908.458475
3.226223,156,2924.338485
-7.001,1,2924.578392
8.9888,461,2967.24893
-0.045423,545,3010.508836
4.088231,302,3029.619932
-7.001,1,3029.891145
-1.543561,81,3037.280139
-7.001,1,3038.025359
-7.001,1,3038.240739
-7.001,1,3039.289347
-7.001,1,3039.567079
6.487891,217,3057.576352
-7.001,1,3057.867227
0.334773,217,3077.198838
0.256157,112,3088.479373
-8.271808,87,3097.639649
-7.001,1,3098.66878
-7.001,1,3099.735156
5.676894,222,3119.355309
13.236651,279,3143.454338
-8.147616,17,3144.837537
9.627056,267,3168.127046
-7.001,1,3168.887329
2.877729,186,3182.278763
-6.698732,54,3185.109199
1.209617,135,3201.011892
-0.281025,105,3209.875836
-7.001,1,3210.054712
-7.001,1,3210.623671
-7.712099,8,3212.490194
-1.270063,95,3222.325883
-7.001,1,3222.567111
4.635775,210,3240.638504
4.416014,245,3257.371723
-7.135868,4,3258.16479
4.524484,185,3271.089884
-7.329385,15,3274.633856
-7.19846,7,3275.24138
-3.327469,64,3281.756631
-7.001,1,3282.387848
-7.0,1,3282.619411
15.407225,301,3305.518396
-7.001,1,3305.750017
-5.834045,43,3310.450787
-7.001,1,3311.942324
-2.269199,170,3329.921706
10.474146,245,3350.771028
-7.001,1,3351.442177
38.92946,652,3395.896882
5.883106,195,3416.816727
-7.073522,19,3419.516562
-7.001,1,3420.504499
19.463533,403,3453.788528
-7.001,1,3454.049586
-1.874034,174,3474.046599
-7.001,1,3474.328486
-7.154836,15,3475.303523
-7.001,1,3476.062621
1.070026,154,3487.139169
15.961567,341,3519.570736
8.759554,263,3540.199299
13.388734,340,3569.96988
0.856721,112,3578.438315
-7.408407,8,3580.234458
-7.590008,23,3582.357714
-6.976188,3,3582.779896
-7.001,1,3583.071225
-7.001,1,3583.713466
5.750889,166,3594.608269
31.166584,584,3646.822358
-2.096498,86,3656.54675
4.579414,171,3669.441304
39.65911,501,3709.092799
32.437648,341,3732.969645
-14.116786,150,3753.217808
21.249489,396,3784.823526
-7.001,1,3785.08108
39.966486,412,3813.940623
0.190227,98,3821.895538
-1.194156,106,3832.175236
0.869625,111,3839.81162
-5.285047,157,3851.670051
41.356796,516,3891.32649
4.710464,153,3901.17884
30.322594,556,3942.084178
8.501676,204,3955.851861
-6.074131,13,3956.678786
10.097673,294,3977.824363
5.794803,219,3996.911239
5.830477,442,4027.250588
-1.071336,113,4033.124361
-7.001,1,4033.710979
48.684493,652,4087.175329
-3.258719,44,4091.343567
1.424594,146,4103.919278
1.831242,134,4115.572912
-7.001,1,4116.254475
2.543451,227,4138.774016
25.823751,467,4176.394655
7.881733,263,4197.818307
-7.198358,5,4199.522569
9.354933,202,4214.510099
-7.001,1,4216.413248
9.502991,392,4244.034269
10.835906,271,4263.792555
-7.001,1,4264.044887
-2.686177,64,4270.203051
-7.001,1,4270.763593
-14.160997,124,4280.338203
-7.001,1,4281.464426
-8.619793,178,4296.9629
15.76583,652,4352.398852
-31.523795,525,4394.818934
-7.001,1,4395.47906
-7.001,1,4395.751135
-7.001,1,4396.365094
14.224487,338,4422.310386
-0.48496,112,4434.688464
-1.442961,87,4442.559147
-7.001,1,4443.236093
-7.001,1,4443.46277
-6.661598,6,4444.328492
-7.001,1,4444.552899
8.297674,359,4472.52658
6.409239,257,4492.36076
5.92875,223,4511.549104
-6.410786,76,4518.134279
1.38045,150,4531.811249
-7.001,1,4532.117541
-1.735124,163,4544.102085
31.696254,449,4575.169625
12.996411,292,4604.778592
5.398433,281,4629.105079
26.140153,443,4663.488824
-3.57781,652,4710.567793
36.011426,426,4748.555507
9.228069,357,4785.661603
-7.001,1,4785.994356
4.961547,196,4801.887047
-5.808294,24,4804.352071
0.639191,652,4856.972588
-2.895057,454,4887.777986
-7.001,1,4887.968728
11.071291,338,4909.660029
-7.001,1,4909.880798
-8.024882,105,4918.220553
-7.001,1,4918.455718
-6.991983,3,4920.620685
1.670468,189,4936.241296
2.452107,652,4986.410747
-7.001,1,4987.165035
40.573739,652,5038.28756
-7.001,1,5038.936996
-1.778229,94,5047.37922
8.816569,283,5072.375567
-0.342253,214,5087.385303
-5.927986,20,5089.312566
-7.001,1,5089.994591
-7.298083,482,5130.410913
8.154332,271,5155.099011
24.982363,652,5202.804975
3.799863,175,5215.456647
13.758355,652,5276.143566
-2.067292,88,5282.730448
-2.404234,68,5289.776507
-7.001,1,5290.718893
3.905574,172,5303.24147
1.86186,181,5317.236042
1.440267,152,5330.249476
0.794368,223,5346.910692
-3.80314,73,5354.88541
-0.189714,119,5365.201656
-7.001,1,5365.862428
0.850408,113,5372.749255
5.942284,186,5384.51676
-1.419538,92,5392.179029
12.611255,320,5417.220467
2.985706,175,5429.732086
3.350113,218,5445.075978
3.653119,219,5460.906054
-0.790754,112,5469.089508
25.057998,531,5507.693331
12.349336,652,5559.106907
-7.001,1,5559.341782
-9.442196,80,5564.429357
-6.409318,39,5567.629427
0.885278,169,5580.78399
32.796783,591,5624.999962
18.548691,389,5655.384468
-6.537534,19,5659.162084
-2.35238,118,5666.618072
-0.133708,172,5682.616884
4.12639,200,5696.492763
-2.34082,652,5741.983148
-2.20454,86,5747.38517
-5.16373,43,5749.656983
-7.001,1,5750.308929
25.688065,546,5787.011178
2.137174,152,5801.175098
13.797103,406,5827.669188
-5.542059,53,5832.576782
12.856745,319,5860.544775
-5.846195,31,5863.223839
3.674034,177,5877.249115
17.008223,652,5931.430108
1.139133,182,5945.378676
26.624064,619,5994.493465
0.914589,178,6004.582525
1.956551,170,6017.877006
32.716723,430,6045.567408
-0.350935,134,6055.339735
0.93537,127,6065.736005
11.257099,652,6113.538647
-6.963481,38,6115.81973
8.758355,652,6166.828953
-7.001,1,6167.086493
13.848037,652,6215.695301
-0.96759,218,6235.795309
-7.001,1,6236.116375
-5.81735,72,6244.578045
20.100776,652,6304.790879
-3.311974,123,6313.431976
-7.001,1,6314.440917
3.793968,180,6327.702561
-7.001,1,6328.016336
1.714713,161,6344.231785
-4.317334,50,6348.410141
2.594971,204,6364.777809
-0.870435,84,6369.819932
25.638503,652,6422.19878
-1.919339,74,6427.92327
6.109164,306,6450.264527
-3.134888,80,6456.322496
-2.608022,82,6462.543754
-7.001,1,6462.797797
4.800103,188,6476.253615
-4.483333,48,6480.393893
-7.001,1,6480.638488
10.524195,320,6505.26109
5.195253,187,6519.825744
-3.378202,71,6525.529019
0.287508,118,6535.012822
-1.73501,83,6541.06041
-6.942629,35,6543.872651
3.276564,150,6555.349737
-5.441006,48,6557.64369
13.503114,385,6588.961989
-2.824302,89,6597.606461
-0.048536,98,6605.873275
12.922049,284,6625.077376
-7.001,1,6625.749412
-7.001,1,6626.811882
7.033207,173,6638.598921
31.347192,360,6673.130495
-7.001,1,6673.35278
-7.001,1,6673.675727
-7.001,1,6673.925789
-4.61715,74,6680.967808
16.634312,353,6707.629139
-7.001,1,6708.229207
-7.001,1,6708.867868
31.237384,311,6729.645626
-7.001,1,6730.560422
-0.371763,237,6752.86987
-7.001,1,6753.570398
26.610117,432,6784.454581
15.366094,332,6807.629413
-7.001,1,6808.254008
-0.795837,137,6817.168053
2.91854,256,6836.871025
25.640951,652,6890.47278
15.845246,346,6915.521537
-7.071505,2,6915.809648
-6.137872,54,6920.872307
10.945987,652,6964.75243
-7.001,1,6965.072189
-4.643798,43,6970.401917
-7.001,1,6970.612666
3.208446,148,6984.303277
-3.704131,75,6990.494913
0.415332,162,6999.555254
-1.773058,83,7007.121778
-7.001,1,7007.448556
-7.001,1,7008.120862
18.402441,652,7058.054425
-0.787813,97,7067.370774
6.616226,177,7082.111664
17.58482,652,7130.4073
15.553453,369,7154.626052
-7.001,1,7155.309166
5.385959,242,7171.985802
-6.295148,63,7179.535446
10.15827,329,7206.697202
-7.001,1,7208.467861
5.206567,167,7222.107711
10.712786,652,7281.968825
-7.001,1,7283.01888
10.819861,561,7323.816985
-0.987194,114,7333.535333
-7.001,1,7333.735709
-0.835671,193,7347.759741
-2.421606,74,7354.930472
33.60308,334,7389.135726
10.740075,257,7407.50786
-10.256774,71,7411.400695
-7.001,1,7412.162961
11.80615,365,7442.892786
-4.450218,47,7446.453581
-7.989822,15,7448.221864
15.069585,286,7481.544911
-7.001,1,7482.190441
45.915996,652,7542.876403
-6.774411,9,7543.867982
2.543119,169,7557.089375
36.678876,383,7583.381932
8.071115,276,7604.613814
1.65309,157,7617.797129
21.322686,360,7648.110651
-7.535215,12,7651.432543
11.003982,227,7671.743876
37.398868,461,7701.707292
-6.78962,4,7703.349025
5.055352,180,7716.003007
1.077827,202,7733.964122
-2.307409,67,7737.78221
-7.198169,4,7738.165635
-5.204008,33,7740.901064
8.194062,652,7789.457971
6.996995,168,7802.743484
7.189451,247,7821.29411
-0.350183,150,7831.703595
-3.055678,69,7839.599672
4.013507,153,7849.549332
-2.552012,78,7855.46372
-2.752435,52,7859.185167
-7.580652,15,7860.056553
1.616852,117,7866.955618
-7.001,1,7867.661391
-6.024359,16,7869.354597
2.744659,218,7884.083661
-1.749652,273,7904.358961
-3.211559,73,7910.673895
0.785416,149,7922.88069
0.692011,133,7930.939634
-7.001,1,7931.997797
43.000121,652,7974.644324
-7.001,1,7975.246975
11.984463,254,7995.675592
7.428769,293,8016.818385
0.181425,99,8025.641526
7.442514,174,8036.743714
-7.001,1,8037.408513
-7.001,1,8038.094361
4.472925,155,8051.347881
33.703479,337,8080.448766
1.659529,652,8126.673667
-7.001,1,8126.896898
-0.679916,116,8137.271062
-7.001,1,8137.519637
34.106151,348,8159.729469
5.653217,188,8174.736432
-3.096461,58,8179.86032
1.390211,159,8189.76808
-5.091413,29,8191.842191
12.632215,652,8239.432151
10.530524,213,8253.940716
14.118862,305,8285.644204
6.454587,637,8333.823653
2.64366,128,8344.049682
32.34349,652,8401.669536
1.419661,139,8410.197322
12.765282,318,8433.940608
6.26553,229,8454.052838
-4.495927,39,8457.10436
-6.631333,98,8464.251672
-6.790957,9,8464.939376
20.146618,652,8508.931108
-6.723848,14,8510.754446
-7.076985,118,8520.585286
-6.719789,6,8521.455958
-7.001,1,8521.748343
-3.50921,60,8526.904434
-7.001,1,8527.134473
-5.04134,42,8529.722894
-7.001,1,8530.396779
-7.220238,4,8531.127423
-5.677869,19,8532.181028
15.054278,302,8559.218738
-7.001,1,8559.664071
4.890218,179,8574.236238
-2.98473,79,8586.445857
-3.959272,86,8592.35366
13.765267,269,8615.780708
-1.733279,121,8625.276451
15.460529,652,8675.199672
10.100575,244,8694.401419
-7.001,1,8695.425911
3.770361,652,8742.539244
-7.001,1,8743.238431
-1.977332,86,8750.648266
11.417711,222,8765.03323
42.156247,399,8798.005119
-0.876565,78,8808.228125
-7.478869,42,8811.351175
-7.001,1,8811.691139
-7.001,1,8811.955544
0.156808,89,8817.16002
-7.001,1,8818.170135
-7.001,1,8818.415883
32.12413,471,8849.638026
-7.001,1,8849.97051
10.805558,212,8868.360346
12.701678,652,8916.366346
34.172104,371,8948.272183
3.878519,134,8961.908326
10.741407,237,8979.873027
-5.419877,21,8981.17814
-7.001,1,8982.21745
13.378523,652,9029.167011
5.572611,211,9048.406904
19.274935,652,9098.791922
-1.413287,77,9103.765197
18.456336,652,9148.202542
-7.001,1,9149.445497
-14.408218,652,9198.947699
-4.929353,95,9205.820357
29.395723,454,9234.323129
1.802115,129,9244.166162
-0.443885,119,9255.931293
-7.001,1,9257.093826
-7.001,1,9257.374869
-3.390355,83,9263.590581
3.031881,173,9277.194229
-0.324868,98,9288.701209
1.194402,103,9295.590722
-1.687784,73,9301.730607
10.908778,278,9320.10359
-7.001,1,9320.839976
12.752501,260,9344.214556
33.572966,284,9364.646338
-7.001,1,9365.329526
1.80284,128,9374.447793
28.37557,295,9393.091425
13.795111,652,9447.276068
0.52895,104,9455.32934
6.281724,215,9469.535353
2.114147,144,9482.678805
40.445048,652,9542.600082
-4.041782,652,9595.626151
-6.516829,42,9598.822774
-7.114839,5,9599.646152
-12.967973,232,9625.098438
-1.188716,107,9637.942474
34.255413,416,9669.956712
5.717342,215,9692.2107
-7.001,1,9692.467001
-7.001,1,9692.776364
17.146204,652,9754.629431
-0.440057,115,9763.302924
-2.703062,73,9769.382357
12.954984,652,9817.155017
5.217804,252,9834.891569
-4.413845,54,9840.011801
32.089858,624,9886.050109
-2.615597,426,9922.348836
10.095067,333,9942.635823
-8.717527,23,9943.95168
25.823014,533,9982.823063
-1.776629,97,9991.100561
-8.967108,652,10042.979949
4.669449,157,10053.179303
-7.001,1,10053.390792
11.190845,341,10082.011128
